mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
331.6926061312358,4.122225094602971,5.3086269696553545,0.22429443497383592,100,5,1,sqrt,30,log_loss,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.8733093747584821,0.8700826957260994,0.8724978746425536,0.8719633150423783,0.0013704451513064813,1
366.1369477907817,2.196597346879057,5.0776952902476,1.2416127961985048,120,10,1,sqrt,,entropy,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.8731161604451658,0.8695610170801453,0.8731161604451658,0.8719311126568257,0.001675910654330903,2
330.7792718410492,0.7297025863334046,4.370560646057129,0.03882490196413533,100,5,1,sqrt,20,log_loss,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'log_loss'}",0.8734446247778035,0.8697155885307983,0.8722853388979056,0.8718151840688358,0.0015582494463003056,3
279.49160774548847,1.6731917245741506,5.145710627237956,0.8818902957933604,120,5,2,log2,30,entropy,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.8738696962670994,0.8695610170801453,0.8712806244686606,0.8715704459386352,0.0017709087022141112,4
309.46295166015625,0.5943509265993699,6.123421907424927,0.39073820504840584,100,10,2,sqrt,30,log_loss,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.8736185176597883,0.8690200170028596,0.8709328387046913,0.8711904577891131,0.0018861473550489296,5
235.17511995633444,0.9178936806703439,5.7385430335998535,0.38159036876259866,100,2,2,log2,30,entropy,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.8731354818764974,0.8688461241208749,0.8713772316253188,0.871119612540897,0.0017605724795121493,6
204.32075802485147,7.840081591485264,4.923647165298462,1.5731961540924702,80,5,2,sqrt,30,gini,"{'n_estimators': 80, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.8721694103099158,0.8694644099234872,0.8706236958033852,0.870752505345596,0.0011080615795969052,7
195.41074260075888,1.4597781849688753,4.769528388977051,0.5704808542021963,80,2,2,log2,30,log_loss,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'log_loss'}",0.8723626246232321,0.86878815982688,0.8707009815287117,0.8706172553262747,0.0014604696054856482,8
343.7209801673889,3.7106721974777606,6.333832025527954,0.8290678585476751,120,2,4,sqrt,30,entropy,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'entropy'}",0.8715704459386351,0.8685176597882371,0.8716090888012984,0.8705657315093903,0.0014482913263449144,9
279.20961872736615,1.0270737809779338,5.375319719314575,0.11356907037081268,100,5,4,sqrt,30,log_loss,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.8711260530180076,0.8688654455522065,0.8716090888012984,0.8705335291238375,0.0011958840505232452,10
191.20313938458762,2.3429351428897744,5.271177689234416,0.9314564073346085,80,2,1,log2,,entropy,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.8721694103099158,0.8683824097689157,0.870894195842028,0.8704820053069531,0.001573270278175952,11
188.24729029337564,0.8786813701743649,4.926624615987142,1.0653594304312821,80,2,1,log2,,log_loss,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'criterion': 'log_loss'}",0.873367339052477,0.8677834453976351,0.8701020171574311,0.8704176005358478,0.0022905111130772505,12
231.42880256970724,2.523762542007224,4.294966856638591,1.0504115716563256,80,10,4,sqrt,,entropy,"{'n_estimators': 80, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.8719375531339362,0.8683051240435892,0.8708169101167015,0.8703531957647423,0.0015187513564898182,13
174.15630761782327,2.537927699956584,4.458264907201131,0.8965992551983579,50,2,1,sqrt,30,log_loss,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.8714351959193137,0.8690973027281861,0.8697155885307983,0.8700826957260993,0.0009891113563570105,14
219.29544750849405,5.303757988638511,4.61630376180013,0.6042925125942933,80,10,2,sqrt,30,gini,"{'n_estimators': 80, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.8718023031146147,0.8677641239663034,0.8699281242754463,0.8698315171187881,0.0016499944273647693,15
