mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_n_estimators,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
1453.8609558939934,23.36176082307064,1.9726102352142334,0.03558627034802831,entropy,100,0.4,0.75,5e-05,400,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 5e-05, 'n_estimators': 400}",0.9112623406209951,0.917424962182583,0.9081257343199898,0.9199356461274764,0.9141871708127611,0.004712321758033653,2,-0.25463182328537926,-0.24349786695959535,-0.26335653792773045,-0.23934851532346982,-0.2502086858740437,0.009426141218378559,4
1452.7931811213493,30.65769635785418,2.07807594537735,0.057408309836752075,entropy,100,0.4,0.75,1e-05,400,"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 1e-05, 'n_estimators': 400}",0.9082559753740539,0.9154839856737107,0.9068550691835532,0.9197687714886054,0.9125909504299808,0.005281645351586143,6,-0.25659510707505995,-0.24442224557237682,-0.25946176483629296,-0.24137540403944024,-0.2504636303807925,0.007708041556819316,6
1392.4163301587105,21.971215868080275,2.003858983516693,0.06286279249679091,entropy,200,0.4,0.75,5e-05,400,"{'criterion': 'entropy', 'max_depth': 200, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 5e-05, 'n_estimators': 400}",0.9092630794492035,0.9179506234438981,0.9084435333312457,0.9197574782808235,0.9138536786262927,0.005049333622309817,3,-0.25573860737762616,-0.2430272740479888,-0.26359654702779844,-0.23930523822056607,-0.25041691666849486,0.009748067300758854,5
1442.443592429161,21.288222635908433,2.1015143990516663,0.05687332863556021,entropy,200,0.4,0.75,1e-05,400,"{'criterion': 'entropy', 'max_depth': 200, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 1e-05, 'n_estimators': 400}",0.9096771088339572,0.916099152947257,0.9066805227387222,0.9192854115778396,0.9129355490244441,0.005001797940178683,4,-0.25509082017410856,-0.24375181538235205,-0.2593057697991298,-0.24127878173310516,-0.24985679677217387,0.007542069212369707,2
1378.4330083727837,21.141283848014247,1.9608935117721558,0.04207044895944334,entropy,300,0.4,0.75,5e-05,400,"{'criterion': 'entropy', 'max_depth': 300, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 5e-05, 'n_estimators': 400}",0.9109811388817759,0.9167580159183091,0.9088367091249078,0.9207034139621018,0.9143198194717737,0.0046879197861839726,1,-0.2548696537742369,-0.2439488777814853,-0.2625599472255988,-0.23855104796324575,-0.24998238168614167,0.009342900291319274,3
1417.7446026206017,10.719983858514428,1.7773036360740662,0.18859201936088096,entropy,300,0.4,0.75,1e-05,400,"{'criterion': 'entropy', 'max_depth': 300, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 1e-05, 'n_estimators': 400}",0.9094801449793949,0.9159976314649395,0.90630022612715,0.9189366078137396,0.9126786525963061,0.005027235806875113,5,-0.25547872723146503,-0.24340133390856344,-0.2583195912690144,-0.24162321488848226,-0.24970571682438128,0.007290380024410039,1
