mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
488.67567348480225,3.148365020751953,3.179614305496216,0.0546872615814209,300,2,1,0.75,0.4,200,gini,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 200, 'criterion': 'gini'}",0.8955325867346755,0.8896562342730482,0.8925944105038619,0.0029381762308136605,46,0.9582936583435842,0.9564712924081191,0.9573824753758516,0.0009111829677325156,45
900.4474135637283,17.25741422176361,3.7889751195907593,0.07031047344207764,400,5e-05,1,0.75,0.4,50,entropy,"{'n_estimators': 400, 'min_samples_split': 5e-05, 'min_samples_leaf': 1, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.9019107086048108,0.8985161052684957,0.9002134069366532,0.0016973016681575692,17,0.9603493474220732,0.9584699649999825,0.9594096562110279,0.0009396912110453681,11
474.270299077034,15.249648928642273,1.9218288660049438,0.015622973442077637,200,2,1,0.75,0.4,100,entropy,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 100, 'criterion': 'entropy'}",0.8995262233435606,0.8981382758439356,0.8988322495937481,0.0006939737498125043,24,0.9597449803254302,0.9586744578217314,0.9592097190735809,0.0005352612518493838,14
572.463338971138,9.491968274116516,3.7499144077301025,0.0625,400,0.0001,0.0001,0.75,0.4,200,gini,"{'n_estimators': 400, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 200, 'criterion': 'gini'}",0.8991611464834061,0.895839891934897,0.8975005192091515,0.0016606272742545336,34,0.9588472760514692,0.957596591773308,0.9582219339123886,0.0006253421390806091,35
640.2586499452591,22.19480049610138,4.038969278335571,0.054685354232788086,400,0.0001,5e-05,0.75,0.4,50,gini,"{'n_estimators': 400, 'min_samples_split': 0.0001, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'gini'}",0.9003667879352031,0.8951021051613295,0.8977344465482663,0.0026323413869367984,28,0.9593302707086074,0.9576729800085612,0.9585016253585843,0.0008286453500231383,27
661.5423690080643,13.969179034233093,2.851550340652466,0.039115190505981445,300,2,5e-05,0.75,0.4,200,entropy,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 200, 'criterion': 'entropy'}",0.9027405854924646,0.9002993807903509,0.9015199831414078,0.0012206023510568653,2,0.9602311305513308,0.9589930284354042,0.9596120794933676,0.0006190510579632824,4
671.7011547088623,21.23590350151062,2.8287253379821777,0.03058457374572754,300,0.0001,5e-05,0.75,0.4,50,entropy,"{'n_estimators': 300, 'min_samples_split': 0.0001, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.9015059310123144,0.9003725241985342,0.9009392276054242,0.0005667034068900789,7,0.9600974385512208,0.9590318704551672,0.959564654503194,0.0005327840480267576,7
425.1791476011276,8.711142420768738,1.8363025188446045,0.03946948051452637,200,5e-05,0.0001,0.75,0.4,50,entropy,"{'n_estimators': 200, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.9030105716525778,0.8978538472512464,0.9004322094519122,0.002578362200665707,15,0.9602435831228285,0.957757592587394,0.9590005878551113,0.0012429952677172618,19
501.07061302661896,19.78937065601349,3.171802043914795,0.015624761581420898,300,5e-05,1,0.75,0.4,300,gini,"{'n_estimators': 300, 'min_samples_split': 5e-05, 'min_samples_leaf': 1, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 300, 'criterion': 'gini'}",0.8953881341124936,0.889519765197275,0.8924539496548843,0.00293418445760929,47,0.9580811356033369,0.9561390034700951,0.957110069536716,0.0009710660666208959,47
909.8026074171066,19.95896542072296,3.765537977218628,0.062497854232788086,400,0.0001,1,0.75,0.4,100,entropy,"{'n_estimators': 400, 'min_samples_split': 0.0001, 'min_samples_leaf': 1, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 100, 'criterion': 'entropy'}",0.9027216224166046,0.8978217983493,0.9002717103829523,0.0024499120336523017,16,0.9605379866805782,0.9582691944620125,0.9594035905712954,0.0011343961092828425,12
306.3778579235077,9.411724090576172,1.9765158891677856,0.007812380790710449,200,0.0001,5e-05,0.75,0.4,100,gini,"{'n_estimators': 200, 'min_samples_split': 0.0001, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 100, 'criterion': 'gini'}",0.8978343033185094,0.8940548106174716,0.8959445569679905,0.0018897463505189172,40,0.9585429310761427,0.9573686609484314,0.9579557960122871,0.0005871350638556594,39
