mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
209.58622419834137,1.5313318967819214,3.3810259103775024,0.08611476421356201,200,10,1,sqrt,80,gini,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'gini'}",0.8270295237594364,0.8159660052493694,0.8214977645044028,0.005531759255033519,1,-0.3538803196619154,-0.3651178452000591,-0.35949908243098727,0.005618762769071833,5
141.37270867824554,2.105075240135193,3.687743067741394,0.15784108638763428,300,2,70,log2,50,gini,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 70, 'max_features': 'log2', 'max_depth': 50, 'criterion': 'gini'}",0.73128039677513,0.71352969030907,0.7224050435421,0.008875353233030014,51,-0.47219899460121684,-0.47741142863722474,-0.4748052116192208,0.0026062170180039534,60
121.74524426460266,2.2186710834503174,1.7111232280731201,0.047257184982299805,150,5,100,sqrt,80,entropy,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 100, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy'}",0.7478253207731287,0.7225368083206261,0.7351810645468774,0.012644256226251316,43,-0.4542166497870089,-0.46897131956611426,-0.46159398467656154,0.007377334889552695,43
25.659827709197998,0.1666405200958252,0.5150365829467773,0.013068199157714844,30,2,10,sqrt,50,gini,"{'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 50, 'criterion': 'gini'}",0.7904669606127448,0.782183062620589,0.7863250116166669,0.004141948996077893,17,-0.38756159899002673,-0.39197829574750875,-0.38976994736876774,0.0022083483787410096,19
264.7349200248718,1.5531044006347656,3.422764539718628,0.01273655891418457,300,2,70,sqrt,80,entropy,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 70, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy'}",0.760785136187005,0.748735568855857,0.754760352521431,0.006024783665574018,28,-0.4422164746168453,-0.44944767472807845,-0.4458320746724619,0.0036156000556165635,32
132.4773086309433,1.6394635438919067,1.7652463912963867,0.0078012943267822266,150,10,70,sqrt,80,entropy,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 70, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy'}",0.7578753667151875,0.7388556387490155,0.7483655027321015,0.009509863983086009,33,-0.44846010412674725,-0.4532144233963595,-0.45083726376155336,0.002377159634806114,40
161.90165054798126,0.6958407163619995,2.5886170864105225,0.015885114669799805,150,5,1,log2,50,entropy,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 50, 'criterion': 'entropy'}",0.7921574872735032,0.7751283670841959,0.7836429271788495,0.008514560094653678,18,-0.382882837917467,-0.39257684311195024,-0.3877298405147086,0.004847002597241606,16
40.401328444480896,0.14918553829193115,0.9570190906524658,0.015611648559570312,80,2,1,log2,10,gini,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini'}",0.7158385889428874,0.7032553601326346,0.7095469745377609,0.006291614405126433,62,-0.4714407118648907,-0.473219673064673,-0.47233019246478186,0.0008894805998911348,55
17.8952499628067,0.039400696754455566,0.37665343284606934,0.00017905235290527344,30,10,70,sqrt,10,gini,"{'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 70, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.7279319159377389,0.7152747762286573,0.7216033460831981,0.006328569854540778,52,-0.46165661018218274,-0.47169958164799897,-0.46667809591509085,0.005021485732908115,50
155.95982551574707,1.3493704795837402,3.435667634010315,0.01634538173675537,200,5,1,log2,80,gini,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 80, 'criterion': 'gini'}",0.7975206489042468,0.7806833877737939,0.7891020183390203,0.00841863056522646,14,-0.3825932031016565,-0.3937028252147861,-0.3881480141582213,0.005554811056564801,17
23.941287755966187,0.17078256607055664,0.37545835971832275,0.014127850532531738,30,2,70,sqrt,10,entropy,"{'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 70, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy'}",0.7209077038234599,0.7052415041423662,0.713074603982913,0.007833099840546864,59,-0.4536440810134111,-0.47433815325162854,-0.46399111713251984,0.010347036119108727,46
36.17023515701294,0.08625197410583496,0.9490300416946411,0.007585644721984863,80,2,100,log2,80,gini,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 100, 'max_features': 'log2', 'max_depth': 80, 'criterion': 'gini'}",0.7088617341744401,0.7006982141581772,0.7047799741663087,0.00408176000813143,65,-0.4921051347567048,-0.49079044088645835,-0.4914477878215816,0.0006573469351232319,68
