mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_degree,param_gamma,params,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1
4.092807292938232,0.026003360748291016,1.1543487310409546,0.00021588802337646484,0.01,linear,,,"{'C': 0.01, 'kernel': 'linear'}",0.6977425259304453,0.4786755443584668,0.588209035144456,0.10953349078598923,23
2.715465545654297,0.24132871627807617,0.7958370447158813,0.022272467613220215,0.1,linear,,,"{'C': 0.1, 'kernel': 'linear'}",0.6771381172567152,0.6597834659783466,0.6684607916175309,0.00867732563918433,19
2.9479929208755493,0.13761818408966064,1.0039314031600952,0.02000272274017334,0.01,poly,2,scale,"{'C': 0.01, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.6977425259304453,0.4786755443584668,0.588209035144456,0.10953349078598923,23
2.6646060943603516,0.11815714836120605,0.7467103004455566,0.06090879440307617,0.01,poly,2,auto,"{'C': 0.01, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.7006457884869106,0.6882735473043843,0.6944596678956474,0.006186120591263167,10
2.715971350669861,0.09797132015228271,0.8154289722442627,0.03839826583862305,0.01,poly,2,0.005,"{'C': 0.01, 'degree': 2, 'gamma': 0.005, 'kernel': 'poly'}",0.6859927089175546,0.6689751186948917,0.6774839138062232,0.008508795111331457,16
2.726792335510254,0.03114008903503418,0.7686014175415039,0.06576085090637207,0.01,poly,2,0.01,"{'C': 0.01, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.6948324022346369,0.6802302991769983,0.6875313507058176,0.0073010515288193245,13
3.0436689853668213,0.13642549514770508,1.063515067100525,0.027817606925964355,0.01,poly,3,scale,"{'C': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6977425259304453,0.4786755443584668,0.588209035144456,0.10953349078598923,23
2.7153704166412354,0.11572980880737305,0.7570590972900391,0.006531238555908203,0.01,poly,3,auto,"{'C': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7006457884869106,0.6882735473043843,0.6944596678956474,0.006186120591263167,10
2.7198615074157715,0.027045011520385742,0.8107016086578369,0.04639458656311035,0.01,poly,3,0.005,"{'C': 0.01, 'degree': 3, 'gamma': 0.005, 'kernel': 'poly'}",0.6859927089175546,0.6689751186948917,0.6774839138062232,0.008508795111331457,16
2.7180925607681274,0.021352410316467285,0.8538981676101685,0.01155102252960205,0.01,poly,3,0.01,"{'C': 0.01, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.6948324022346369,0.6802302991769983,0.6875313507058176,0.0073010515288193245,13
2.9781607389450073,0.003176569938659668,0.8743703365325928,0.021495819091796875,0.1,poly,2,scale,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.6771381172567152,0.6597834659783466,0.6684607916175309,0.00867732563918433,19
2.710658311843872,0.0791783332824707,0.6757997274398804,0.006053566932678223,0.1,poly,2,auto,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.766877353415815,0.7651104834690147,0.7659939184424148,0.0008834349734001545,1
2.7367234230041504,0.15967679023742676,0.8432066440582275,0.037027835845947266,0.1,poly,2,0.005,"{'C': 0.1, 'degree': 2, 'gamma': 0.005, 'kernel': 'poly'}",0.7239259566238431,0.7194773938456249,0.721701675234734,0.002224281389109073,7
2.6742674112319946,0.029625773429870605,0.774254560470581,0.017672061920166016,0.1,poly,2,0.01,"{'C': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.7538576069301569,0.7510802934378454,0.7524689501840012,0.0013886567461557364,4
2.8466312885284424,0.15840768814086914,0.8349267244338989,0.02159416675567627,0.1,poly,3,scale,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6771381172567152,0.6597834659783466,0.6684607916175309,0.00867732563918433,19
2.731873869895935,0.05107438564300537,0.5505337715148926,0.07874131202697754,0.1,poly,3,auto,"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.766877353415815,0.7651104834690147,0.7659939184424148,0.0008834349734001545,1
2.8092178106307983,0.05124485492706299,0.6554409265518188,0.0115433931350708,0.1,poly,3,0.005,"{'C': 0.1, 'degree': 3, 'gamma': 0.005, 'kernel': 'poly'}",0.7239259566238431,0.7194773938456249,0.721701675234734,0.002224281389109073,7
2.73385751247406,0.0036374330520629883,0.6541417837142944,0.030574917793273926,0.1,poly,3,0.01,"{'C': 0.1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.7538576069301569,0.7510802934378454,0.7524689501840012,0.0013886567461557364,4
3.0636661052703857,0.29721713066101074,0.9078346490859985,0.027683615684509277,0.01,rbf,,scale,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.6977425259304453,0.4786755443584668,0.588209035144456,0.10953349078598923,23
2.7458693981170654,0.0007469654083251953,0.7215838432312012,0.03268146514892578,0.01,rbf,,auto,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.7006457884869106,0.6882735473043843,0.6944596678956474,0.006186120591263167,10
2.79201877117157,0.09408438205718994,0.8093838691711426,0.04013872146606445,0.01,rbf,,0.005,"{'C': 0.01, 'gamma': 0.005, 'kernel': 'rbf'}",0.6859927089175546,0.6689751186948917,0.6774839138062232,0.008508795111331457,16
