mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1
4.403141021728516,0.03892660140991211,0.9345425367355347,0.0421978235244751,0.05,auto,rbf,"{'C': 0.05, 'gamma': 'auto', 'kernel': 'rbf'}",0.747780714237311,0.7407755897573761,0.7442781519973436,0.0035025622399674217,11
2.483889579772949,0.17210626602172852,0.6105456352233887,0.028108596801757812,0.05,0.05,rbf,"{'C': 0.05, 'gamma': 0.05, 'kernel': 'rbf'}",0.766994557685157,0.7638248077566031,0.7654096827208801,0.00158487496427695,10
2.441060781478882,0.06635689735412598,0.6734755039215088,0.06378674507141113,0.05,0.1,rbf,"{'C': 0.05, 'gamma': 0.1, 'kernel': 'rbf'}",0.7667065458895914,0.7652332780728762,0.7659699119812338,0.0007366339083575979,9
2.7460821866989136,0.13467395305633545,0.8172913789749146,0.021137356758117676,0.05,0.5,rbf,"{'C': 0.05, 'gamma': 0.5, 'kernel': 'rbf'}",0.7134371848033172,0.7026785048123555,0.7080578448078363,0.005379339995480847,12
2.580572485923767,0.02163994312286377,0.6025618314743042,0.010825514793395996,0.3,auto,rbf,"{'C': 0.3, 'gamma': 'auto', 'kernel': 'rbf'}",0.7866657696447794,0.7934087066078711,0.7900372381263252,0.0033714684815458473,7
2.4706878662109375,0.07599115371704102,0.5682088136672974,0.022790074348449707,0.3,0.05,rbf,"{'C': 0.3, 'gamma': 0.05, 'kernel': 'rbf'}",0.7975171378875209,0.8025499190501889,0.8000335284688549,0.002516390581334016,5
2.4411144256591797,0.0428767204284668,0.5491974353790283,0.016066551208496094,0.3,0.1,rbf,"{'C': 0.3, 'gamma': 0.1, 'kernel': 'rbf'}",0.8004948113531716,0.8044521597059124,0.802473485529542,0.001978674176370432,4
2.9581910371780396,0.08797919750213623,0.6238019466400146,0.02133321762084961,0.3,0.5,rbf,"{'C': 0.3, 'gamma': 0.5, 'kernel': 'rbf'}",0.7874485304557718,0.7845214136920524,0.785984972073912,0.0014635583818596865,8
2.5700643062591553,0.05838918685913086,0.5367225408554077,0.00988614559173584,0.7,auto,rbf,"{'C': 0.7, 'gamma': 'auto', 'kernel': 'rbf'}",0.7965200907213703,0.8020233150207691,0.7992717028710696,0.0027516121496993784,6
2.5332144498825073,0.06693089008331299,0.5094050168991089,0.008744120597839355,0.7,0.05,rbf,"{'C': 0.7, 'gamma': 0.05, 'kernel': 'rbf'}",0.8040577716643742,0.8093490963446122,0.8067034340044932,0.0026456623401189816,2
2.5911779403686523,0.09527063369750977,0.49647629261016846,0.007266640663146973,0.7,0.1,rbf,"{'C': 0.7, 'gamma': 0.1, 'kernel': 'rbf'}",0.807278000276205,0.8109273903666426,0.8091026953214238,0.001824695045218816,1
3.887593626976013,0.18749892711639404,0.44848620891571045,0.052851319313049316,0.7,0.5,rbf,"{'C': 0.7, 'gamma': 0.5, 'kernel': 'rbf'}",0.8029755430015088,0.8033181136941898,0.8031468283478493,0.00017128534634053283,3
