mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
1013.2596646944681,2.4625839254746005,6.2677567799886065,0.08136688550774511,entropy,,sqrt,1,5,250,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",0.8693164550984723,0.8645766231752678,0.8701176299566458,0.8680035694101287,0.002445191289151325,77,-0.2938289323829256,-0.29889884059547783,-0.29069834523336774,-0.2944753727372571,0.0033788997119159375,14
1218.7697597344716,3.208385530676261,7.557628790537517,0.052359734748481504,entropy,,sqrt,1,5,300,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8694707733127855,0.8653221431053187,0.8701060377984559,0.86829965140552,0.002121329300228868,69,-0.29249446648123684,-0.2963050690314307,-0.2909805250989326,-0.2932600202038667,0.002240125948683847,3
1420.7060451507568,0.8701011035231295,8.68281332651774,0.025729090795467723,entropy,,sqrt,1,5,350,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 350}",0.8689727316297063,0.8646203830588854,0.8700288565545199,0.8678739904143705,0.00234070083265009,81,-0.2930066338130324,-0.2952989002239591,-0.2920597048120989,-0.29345507961636347,0.001359883440580593,5
1005.1932381788889,6.299977737344899,5.922057151794434,0.04763961157557611,entropy,,sqrt,1,10,250,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 250}",0.8696405814559751,0.8652060156411787,0.8703900343079982,0.8684122104683839,0.002287674779749066,60,-0.29367793945423487,-0.2979490960391096,-0.29383987239529435,-0.2951556359628796,0.001976380524674356,28
1202.9222108523052,5.462098223596588,7.109800656636556,0.05349951824326467,entropy,,sqrt,1,10,300,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8693877786132509,0.8652504945462769,0.8703864177235844,0.8683415636277041,0.002223413451997947,66,-0.29250833247437147,-0.2994892473161836,-0.2918257077740957,-0.29460776252155024,0.003462962553511464,16
1389.4804740746815,9.679215917002493,8.985661268234253,0.43091598188890945,entropy,,sqrt,1,10,350,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 350}",0.8697869013062032,0.8657357512850342,0.8701228811377303,0.8685485112429893,0.001993645663536117,49,-0.29331113309439616,-0.29537743146677853,-0.29216202792807,-0.2936168641630816,0.0013303655121693612,7
968.7242431640625,4.533692582750742,5.7333762645721436,0.1541472176733348,entropy,,sqrt,1,20,250,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 250}",0.8690725788711116,0.8649039637945897,0.8697046172069167,0.8678937199575394,0.0021297651748339737,80,-0.2952147190596017,-0.2995706100700158,-0.2967258097774712,-0.2971703796356962,0.0018058568405391706,40
1158.342191139857,0.5889780978025198,6.81328805287679,0.011227890339414702,entropy,,sqrt,1,20,300,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 300}",0.8690894386122386,0.865695058269647,0.8696346588553796,0.8681397185790884,0.0017429073985348635,73,-0.2947793056575971,-0.2989170347611434,-0.29659914922879627,-0.2967651632158456,0.0016932948190840956,38
1366.4835464954376,2.6198326727334096,8.053416013717651,0.16752637942789073,entropy,,sqrt,1,20,350,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 350}",0.8693343503290576,0.8651354435207028,0.870773635974611,0.8684144766081238,0.002391921024849442,59,-0.2948914283265776,-0.29924515996211015,-0.29738051153417144,-0.29717236660761975,0.0017834868509740743,41
939.6732103824615,5.242964124644594,5.8877333005269366,0.16706469185838524,entropy,,sqrt,5,5,250,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 250}",0.8696882746828656,0.8662239481084926,0.8711926173850872,0.8690349467254818,0.00208039205599464,18,-0.2935835083111995,-0.2975665947435694,-0.2936590999837502,-0.2949364010128397,0.001860083837020445,21
1134.4018596808116,1.137389549134439,7.05719526608785,0.1512502708263924,entropy,,sqrt,5,5,300,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.8703744989908996,0.8662892338442346,0.8709150898564426,0.8691929408971922,0.0020650578051673927,9,-0.2928497338031328,-0.29753791403372454,-0.29501222085833173,-0.29513328956506296,0.001915855195022148,27
