mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
1227.2733627557755,20.714120737321814,1.9413616061210632,0.03382860115950715,entropy,20,0.3,0.75,0.0001,0.0005,400,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.3, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0005, 'n_estimators': 400}",0.8708231581845819,0.8760949849827164,0.8712746809548595,0.8720881591334232,0.8725702458138952,0.0020848859239883427,11,0.9404344115187467,0.9391861485300124,0.9406796991356745,0.9410817062108081,0.9403454913488104,0.0007081118795690043,12
1255.7818197011948,12.843703538482195,2.054639458656311,0.03405370657336782,entropy,20,0.3,0.75,0.0001,0.0001,400,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.3, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0001, 'n_estimators': 400}",0.8708674331115358,0.8762321130029339,0.8724899959872132,0.873106695323435,0.8731740593562796,0.0019458094295547114,5,0.9406884087087055,0.9394992784087344,0.9410288702683852,0.9413336092909649,0.9406375416691976,0.0006956793285062409,4
1629.617018699646,13.134038008793606,1.898392379283905,0.03405240750522911,entropy,20,0.4,0.75,0.0001,0.0005,400,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0005, 'n_estimators': 400}",0.8709569070029255,0.8759161866797159,0.8719203195040207,0.872977633102498,0.8729427615722901,0.001859534824003213,9,0.9406026452108392,0.9393585286656855,0.9409847950492221,0.9412742618867282,0.9405550577031188,0.0007307316800080175,8
1654.3289793729782,13.886996900908821,2.0116727352142334,0.023109686691473508,entropy,20,0.4,0.75,0.0001,0.0001,400,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0001, 'n_estimators': 400}",0.8715430289653125,0.8764504158068038,0.8731801616790784,0.8733504757301254,0.87363102054533,0.0017741672405145966,1,0.9408311124174242,0.9396575725618452,0.941353857360446,0.9413995391287371,0.9408105203671131,0.000702116597168351,1
1238.6588933467865,8.740871520552172,1.929642915725708,0.017470027476103565,entropy,50,0.3,0.75,0.0001,0.0005,400,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 0.3, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0005, 'n_estimators': 400}",0.8707242344744522,0.8758524627471888,0.8716935024755741,0.8724728604623424,0.8726857650398894,0.0019303814314949042,10,0.9404576893961493,0.9391770116764585,0.9408339669891378,0.9411511451507786,0.940404953303131,0.0007502460846780148,10
1266.884802877903,11.42169426406124,2.0976074934005737,0.05341506447845201,entropy,50,0.3,0.75,0.0001,0.0001,400,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 0.3, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0001, 'n_estimators': 400}",0.8710868934994953,0.8765309448711447,0.8727898469694553,0.87361104773164,0.8735046832679337,0.0019701694716569686,3,0.9406378257664405,0.9394386825391059,0.9410574710037344,0.9412640143908969,0.9405994984250444,0.0007071567820947717,6
1641.622242450714,13.790133077983258,1.9335494637489319,0.05107866372987011,entropy,50,0.4,0.75,0.0001,0.0005,400,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0005, 'n_estimators': 400}",0.8714900789713508,0.8757424540602058,0.8725880481993191,0.8733891947805329,0.8733024440028522,0.0015617460700230437,4,0.9407165531531869,0.9393270633969206,0.9411086092653027,0.9412669868068766,0.9406048031555718,0.000764430300462783,5
1669.9262773394585,16.33976229244792,2.081982910633087,0.05674058628211694,entropy,50,0.4,0.75,0.0001,0.0001,400,"{'criterion': 'entropy', 'max_depth': 50, 'max_features': 0.4, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0001, 'n_estimators': 400}",0.8719531109583474,0.8761223711714763,0.8729232579546579,0.8732068148218038,0.8735513887265713,0.0015554518635174587,2,0.9409354936304389,0.9395664838195129,0.9411098475909192,0.9412815920113201,0.9407233542630478,0.0006790358625299138,2
1246.6508973240852,12.323792492674968,1.9257348775863647,0.03558617875456406,entropy,80,0.3,0.75,0.0001,0.0005,400,"{'criterion': 'entropy', 'max_depth': 80, 'max_features': 0.3, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0005, 'n_estimators': 400}",0.8707453915131823,0.875394051644006,0.8721261665124632,0.8720141749384385,0.8725699461520224,0.0017183126512876278,12,0.9404466857256295,0.939035271190253,0.9408861968118051,0.9411294483489515,0.9403744005191598,0.0008109446930974102,11
23877.6194524765,22620.47662139406,2.039014518260956,0.032210562840107045,entropy,80,0.3,0.75,0.0001,0.0001,400,"{'criterion': 'entropy', 'max_depth': 80, 'max_features': 0.3, 'max_samples': 0.75, 'min_samples_leaf': 0.0001, 'min_samples_split': 0.0001, 'n_estimators': 400}",0.8708484576345844,0.8760124331949365,0.872441025789448,0.8725417761996438,0.8729609232046531,0.0018854841248118588,8,0.9403944561315443,0.939449640341887,0.9410429229709366,0.9411929149345921,0.94051998359474,0.0006869668846233167,9
