mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_roc_auc,split1_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
193.29247426986694,1.1700565814971924,1.8670837879180908,0.04763221740722656,200,0.001,0.0001,0.25,0.3,50,entropy,"{'n_estimators': 200, 'min_samples_split': 0.001, 'min_samples_leaf': 0.0001, 'max_samples': 0.25, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'entropy'}",0.8674938602919762,0.8683494632190256,0.8679216617555009,0.00042780146352472403,27,0.936757071242604,0.9389989015249299,0.937877986383767,0.0011209151411629703,28
311.60528087615967,2.1886327266693115,1.2158420085906982,0.00794529914855957,200,0.0001,0.005,0.75,0.3,100,entropy,"{'n_estimators': 200, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.005, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 100, 'criterion': 'entropy'}",0.8573921893051701,0.8576510429256079,0.857521616115389,0.00012942681021888003,65,0.9308597225778512,0.9334232873779215,0.9321415049778863,0.0012817824000351252,65
121.90360021591187,0.6779439449310303,3.4600881338119507,0.05492126941680908,300,0.0001,0.0001,0.25,sqrt,20,entropy,"{'n_estimators': 300, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.0001, 'max_samples': 0.25, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy'}",0.8653601235853274,0.8656096316570029,0.8654848776211652,0.00012475403583772637,43,0.9352912625399201,0.9372719659694734,0.9362816142546968,0.0009903517147766272,49
175.27532041072845,1.1475235223770142,1.153583288192749,0.0074198246002197266,250,0.001,0.005,0.25,0.4,50,entropy,"{'n_estimators': 250, 'min_samples_split': 0.001, 'min_samples_leaf': 0.005, 'max_samples': 0.25, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.8471784641699945,0.8497858385510514,0.848482151360523,0.0013036871905284242,88,0.9257285006014834,0.9291244635829002,0.9274264820921918,0.0016979814907084334,87
153.11424243450165,0.6824077367782593,1.6083749532699585,0.05495893955230713,150,5e-05,0.0001,0.25,0.4,100,gini,"{'n_estimators': 150, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.0001, 'max_samples': 0.25, 'max_features': 0.4, 'max_depth': 100, 'criterion': 'gini'}",0.8642074150986845,0.8665906493236075,0.865399032211146,0.0011916171124615182,44,0.93586795305109,0.9382002170804709,0.9370340850657805,0.001166132014690402,42
150.08671152591705,0.053410887718200684,1.4369150400161743,0.11586654186248779,300,0.0005,0.005,0.25,0.3,100,entropy,"{'n_estimators': 300, 'min_samples_split': 0.0005, 'min_samples_leaf': 0.005, 'max_samples': 0.25, 'max_features': 0.3, 'max_depth': 100, 'criterion': 'entropy'}",0.8467855121089092,0.8485726002767743,0.8476790561928418,0.0008935440839325515,91,0.925397694485047,0.9285937399947856,0.9269957172399164,0.001598022754869255,89
208.13536643981934,1.3731441497802734,1.153428316116333,0.054903268814086914,200,5e-05,0.005,0.5,0.4,20,gini,"{'n_estimators': 200, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.005, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.8525943352814691,0.8538502465395359,0.8532222909105025,0.0006279556290333943,73,0.9284201181974696,0.9317342340296825,0.930077176113576,0.0016570579161064303,72
735.1671944856644,4.857025504112244,3.5306694507598877,0.15714311599731445,300,0.0001,5e-05,0.5,0.4,20,entropy,"{'n_estimators': 300, 'min_samples_split': 0.0001, 'min_samples_leaf': 5e-05, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'entropy'}",0.870074117370107,0.8706800865600774,0.8703771019650922,0.0003029845949852339,4,0.938286479791576,0.9403399064323816,0.9393131931119788,0.0010267133204028278,2
58.74133336544037,0.18826782703399658,1.121965765953064,0.023935437202453613,200,0.0001,0.005,0.5,sqrt,50,gini,"{'n_estimators': 200, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.005, 'max_samples': 0.5, 'max_features': 'sqrt', 'max_depth': 50, 'criterion': 'gini'}",0.8472515721608166,0.8491934054497225,0.8482224888052696,0.0009709166444529793,89,0.9249259828208681,0.9283217609984656,0.9266238719096669,0.0016978890887987541,93
234.80857408046722,0.6273857355117798,1.9182783365249634,0.1604541540145874,300,5e-05,0.005,0.75,0.2,20,gini,"{'n_estimators': 300, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.005, 'max_samples': 0.75, 'max_features': 0.2, 'max_depth': 20, 'criterion': 'gini'}",0.8543434963862733,0.8550845929993811,0.8547140446928272,0.00037054830655391946,70,0.9291916513199808,0.9319772363196552,0.9305844438198181,0.0013927924998372032,70
62.2011102437973,0.494329571723938,0.95688796043396,0.015435934066772461,150,0.0001,0.005,0.75,sqrt,80,gini,"{'n_estimators': 150, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.005, 'max_samples': 0.75, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'gini'}",0.8494749143299877,0.8510965344901853,0.8502857244100865,0.0008108100800988116,82,0.9263049250908681,0.9294611972442531,0.9278830611675606,0.0015781360766924935,82
