mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
34.395076394081116,0.33738887310028076,1.4196395874023438,0.007999897003173828,100,0.0001,1,0.25,log2,20,entropy,"{'n_estimators': 100, 'min_samples_split': 0.0001, 'min_samples_leaf': 1, 'max_samples': 0.25, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.857772183395262,0.8616321795987996,0.8597021814970307,0.001929998101768804,45,-0.3093417977294996,-0.30378171672196175,-0.30656175722573065,0.002780040503768927,28
14.623628616333008,0.08657622337341309,0.22157764434814453,0.014118194580078125,50,0.001,0.05,0.75,sqrt,100,entropy,"{'n_estimators': 50, 'min_samples_split': 0.001, 'min_samples_leaf': 0.05, 'max_samples': 0.75, 'max_features': 'sqrt', 'max_depth': 100, 'criterion': 'entropy'}",0.8147284745440603,0.817714047422584,0.8162212609833221,0.0014927864392618728,86,-0.4102881212384453,-0.404336193159448,-0.40731215719894664,0.002975964039498652,89
20.979521989822388,0.19588613510131836,0.3373701572418213,0.05483555793762207,50,0.05,5e-05,0.75,sqrt,300,gini,"{'n_estimators': 50, 'min_samples_split': 0.05, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 'sqrt', 'max_depth': 300, 'criterion': 'gini'}",0.8361043238277525,0.8393534005066765,0.8377288621672145,0.0016245383394620228,72,-0.38068620878156884,-0.3735268766554635,-0.3771065427185162,0.0035796660630526556,73
75.06593871116638,0.3529396057128906,1.2859830856323242,0.016092777252197266,100,0.001,0.0001,0.75,log2,20,entropy,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.8625007793905,0.8637817036989885,0.8631412415447443,0.0006404621542442923,25,-0.3162628726577985,-0.31348251437475694,-0.3148726935162777,0.0013901791415207865,40
15.651952505111694,0.02343893051147461,0.4556729793548584,0.0,100,0.01,0.01,0.25,log2,50,entropy,"{'n_estimators': 100, 'min_samples_split': 0.01, 'min_samples_leaf': 0.01, 'max_samples': 0.25, 'max_features': 'log2', 'max_depth': 50, 'criterion': 'entropy'}",0.8297094983781601,0.8345211076309491,0.8321153030045546,0.002405804626394503,76,-0.3932352084579537,-0.38716170061403304,-0.39019845453599333,0.003036753921960317,80
7.923580527305603,0.11019790172576904,0.30616283416748047,0.007611513137817383,50,0.001,0.01,0.25,sqrt,20,gini,"{'n_estimators': 50, 'min_samples_split': 0.001, 'min_samples_leaf': 0.01, 'max_samples': 0.25, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini'}",0.8296693120285337,0.833799745515984,0.8317345287722588,0.0020652167437251734,78,-0.38288661154136294,-0.38260964066308445,-0.3827481261022237,0.0001384854391392465,76
64.5418268442154,0.651016354560852,0.4393414258956909,0.00018918514251708984,150,0.0001,0.05,0.5,0.3,20,entropy,"{'n_estimators': 150, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.05, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.7972544116934129,0.8108802663330517,0.8040673390132322,0.006812927319819362,95,-0.40923321648666333,-0.39865170388392773,-0.40394246018529556,0.005290756301367799,85
10.759438514709473,0.031578779220581055,0.6321009397506714,0.06365740299224854,50,2,0.001,0.25,log2,20,gini,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 0.001, 'max_samples': 0.25, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini'}",0.8511579657078522,0.8538188768944688,0.8524884213011605,0.0013304555933082995,56,-0.34373855061914055,-0.34161437825093616,-0.34267646443503835,0.0010620861841021956,55
156.463036775589,0.5806481838226318,1.7333570718765259,0.05524933338165283,150,0.0001,1,0.25,0.3,50,entropy,"{'n_estimators': 150, 'min_samples_split': 0.0001, 'min_samples_leaf': 1, 'max_samples': 0.25, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'entropy'}",0.8663983895105994,0.8682443358041632,0.8673213626573812,0.000922973146781858,3,-0.3059630570585918,-0.29583765423831193,-0.30090035564845186,0.005062701410139925,11
53.37104141712189,0.8603538274765015,0.47007763385772705,0.031009793281555176,150,0.0001,0.05,0.5,0.3,20,gini,"{'n_estimators': 150, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.05, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'gini'}",0.8053715883015349,0.8107140375333834,0.8080428129174592,0.0026712246159242836,92,-0.4051653545143877,-0.4003896647508044,-0.40277750963259606,0.00238784488179164,83
170.55076909065247,1.3965396881103516,0.7376023530960083,0.015631556510925293,200,0.05,1,0.5,0.3,300,entropy,"{'n_estimators': 200, 'min_samples_split': 0.05, 'min_samples_leaf': 1, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 300, 'criterion': 'entropy'}",0.8386286651298481,0.842730356122885,0.8406795106263666,0.002050845496518461,70,-0.36849794208273207,-0.362939153667608,-0.36571854787517,0.0027793942075620415,68
