epoch,loss,val_loss
0,0.6791397333145142,0.6644243597984314
1,0.6667364239692688,0.6641080379486084
2,0.6640800833702087,0.6621174216270447
3,0.6623809337615967,0.6570354700088501
4,0.6611287593841553,0.6573042273521423
5,0.6596828103065491,0.6593897342681885
6,0.6596605181694031,0.6570771336555481
7,0.6591693758964539,0.6608297228813171
8,0.6584687829017639,0.6593210697174072
9,0.6582675576210022,0.6580061316490173
10,0.6576387286186218,0.66098952293396
11,0.6573147177696228,0.6585108041763306
12,0.6567948460578918,0.6594573259353638
13,0.6561937928199768,0.6569909453392029
14,0.6562105417251587,0.6566377282142639
15,0.6559018492698669,0.6567275524139404
16,0.656000554561615,0.6572328805923462
17,0.6555793881416321,0.6566741466522217
18,0.6552037596702576,0.6547101140022278
19,0.6549428105354309,0.6564052104949951
20,0.6542210578918457,0.657515287399292
21,0.6544270515441895,0.658537745475769
22,0.6539466381072998,0.6596115827560425
23,0.6540990471839905,0.6561029553413391
24,0.6532943844795227,0.6555410027503967
25,0.6535115838050842,0.6532986164093018
26,0.6535156965255737,0.6524575352668762
27,0.6534118056297302,0.6561684608459473
28,0.6535900235176086,0.6559722423553467
29,0.6525662541389465,0.6576035618782043
30,0.6525929570198059,0.6539455652236938
31,0.6526356339454651,0.6583302021026611
32,0.6523618698120117,0.6547971367835999
33,0.6522986888885498,0.6519647240638733
34,0.651796817779541,0.655825674533844
35,0.6519755721092224,0.6540078520774841
36,0.6517199873924255,0.6552839279174805
37,0.6514405012130737,0.653701901435852
38,0.6509842872619629,0.657311737537384
39,0.6510685086250305,0.6534651517868042
40,0.6508592367172241,0.6557693481445312
41,0.6507635712623596,0.6552627086639404
42,0.6506310105323792,0.6570146679878235
43,0.6507017016410828,0.6586086750030518
44,0.6502849459648132,0.6543220281600952
45,0.6502867937088013,0.6578519344329834
46,0.6507096886634827,0.6615790724754333
47,0.6500411629676819,0.6537879109382629
48,0.6498232483863831,0.6557964086532593
49,0.6498952507972717,0.6584733128547668
50,0.6500962972640991,0.657173752784729
51,0.649614691734314,0.653025209903717
52,0.6495617032051086,0.6558326482772827
53,0.6494278907775879,0.6572958827018738
54,0.6493722796440125,0.6556122303009033
55,0.6492516398429871,0.655656635761261
56,0.6491280794143677,0.6557502746582031
57,0.6490122079849243,0.6538575291633606
58,0.6491263508796692,0.6567414402961731
59,0.6486886739730835,0.6567562818527222
