epoch,loss,val_loss
0,0.6940997838973999,0.6570340991020203
1,0.6447276473045349,0.6411159634590149
2,0.6356915235519409,0.6296848058700562
3,0.6304481625556946,0.6249165534973145
4,0.6277198195457458,0.627372145652771
5,0.6253705620765686,0.6257733106613159
6,0.6246914863586426,0.6222605109214783
7,0.6225761771202087,0.6317402720451355
8,0.6223573088645935,0.6177573204040527
9,0.6206820011138916,0.6207811832427979
10,0.6203531622886658,0.6239709854125977
11,0.6194441318511963,0.6239005923271179
12,0.6184507012367249,0.6252350807189941
13,0.6178226470947266,0.6186909079551697
14,0.6172381043434143,0.6237146258354187
15,0.6162439584732056,0.6190782189369202
16,0.6162353157997131,0.6229948997497559
17,0.6148346662521362,0.620451033115387
18,0.6151624321937561,0.622864305973053
19,0.6153513193130493,0.6181178689002991
20,0.6141985654830933,0.6175326704978943
21,0.6138908267021179,0.6250794529914856
22,0.6137314438819885,0.6174988746643066
23,0.6134492754936218,0.6140134930610657
24,0.6121723055839539,0.6165549755096436
25,0.6125136613845825,0.6215697526931763
26,0.612075686454773,0.6186538934707642
27,0.6114996075630188,0.6210376620292664
28,0.6108190417289734,0.6269297003746033
29,0.6112480759620667,0.6166309118270874
30,0.6110376119613647,0.6190545558929443
31,0.609968900680542,0.6247119903564453
32,0.6100358963012695,0.6078302264213562
33,0.609935998916626,0.6073133945465088
34,0.6104629039764404,0.6092756986618042
35,0.6093946695327759,0.6156374216079712
36,0.6087378263473511,0.6087137460708618
37,0.6087729334831238,0.6163967847824097
38,0.6080220937728882,0.6124364733695984
39,0.6086147427558899,0.6203208565711975
40,0.6076725125312805,0.6092051863670349
41,0.608085572719574,0.6101461052894592
42,0.6076887249946594,0.6187602281570435
43,0.6080055832862854,0.6129458546638489
44,0.6073415279388428,0.6212779879570007
45,0.6078579425811768,0.6198703646659851
46,0.6072492599487305,0.6113799810409546
47,0.6069669723510742,0.6123113036155701
48,0.6066852807998657,0.6139770746231079
49,0.6066737771034241,0.6203463077545166
50,0.6066580414772034,0.6189101338386536
51,0.6061738729476929,0.6111197471618652
52,0.6059011816978455,0.6083664894104004
53,0.6056459546089172,0.6151126027107239
54,0.6058212518692017,0.6169344186782837
55,0.6055975556373596,0.6225214600563049
56,0.6049966812133789,0.6123625636100769
57,0.6056802272796631,0.6208580136299133
58,0.6053937673568726,0.611792266368866
59,0.6050335168838501,0.6141374707221985
