epoch,loss,val_loss
0,0.6617661714553833,0.6399045586585999
1,0.6420480608940125,0.63343346118927
2,0.6371336579322815,0.629481852054596
3,0.6334828734397888,0.629828929901123
4,0.6322147250175476,0.6316563487052917
5,0.6307491660118103,0.6305186152458191
6,0.6299134492874146,0.6285396814346313
7,0.629393458366394,0.6308889985084534
8,0.628386914730072,0.6274272799491882
9,0.6273208260536194,0.6232526302337646
10,0.6275461912155151,0.6279141306877136
11,0.6267446875572205,0.6251611113548279
12,0.6265477538108826,0.6291684508323669
13,0.625990629196167,0.6307644248008728
14,0.6255359649658203,0.6224168539047241
15,0.6257469058036804,0.627608597278595
16,0.625230610370636,0.6241777539253235
17,0.6247351169586182,0.6223565936088562
18,0.6243129968643188,0.6267349123954773
19,0.6244569420814514,0.6278004050254822
20,0.6244317889213562,0.6268255710601807
21,0.6240549087524414,0.6248725652694702
22,0.623953640460968,0.6261283159255981
23,0.62347412109375,0.6229680776596069
24,0.6231781840324402,0.6249145865440369
25,0.6231668591499329,0.6277666091918945
26,0.6228060126304626,0.6248275637626648
27,0.6226930618286133,0.6277446150779724
28,0.6226769685745239,0.6256099939346313
29,0.6225441694259644,0.6212036609649658
30,0.6222249269485474,0.6253549456596375
31,0.6223787069320679,0.6208037734031677
32,0.6219203472137451,0.6255360841751099
33,0.6218141913414001,0.6214959621429443
34,0.6213867664337158,0.6251386404037476
35,0.6214511394500732,0.6230085492134094
36,0.62115079164505,0.6253993511199951
37,0.6212641000747681,0.6276201605796814
38,0.6211522817611694,0.6248385310173035
39,0.6207558512687683,0.6286845803260803
40,0.6207786202430725,0.6231901049613953
41,0.6208088994026184,0.6232957243919373
42,0.6209847331047058,0.623947024345398
43,0.6206004619598389,0.6260736584663391
44,0.620371401309967,0.6218829154968262
45,0.620223343372345,0.627590537071228
46,0.6199991106987,0.6243473291397095
47,0.6197613477706909,0.6235615015029907
48,0.6200510263442993,0.6293807029724121
49,0.6191916465759277,0.6236450672149658
50,0.6195431351661682,0.6258636116981506
51,0.6195934414863586,0.6262965202331543
52,0.6196174025535583,0.6235783696174622
53,0.6192008256912231,0.6234151124954224
54,0.6192392110824585,0.6236336827278137
55,0.6191603541374207,0.6174306273460388
56,0.618891716003418,0.6215601563453674
57,0.6190170645713806,0.6207143068313599
58,0.6188867688179016,0.6225590705871582
59,0.618890643119812,0.6214457750320435
