mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
154.00382828712463,0.7027692400305561,2.5720542271931968,0.39646937495703377,120,10,2,sqrt,,log_loss,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'log_loss'}",0.8541244863185327,0.8526581669473178,0.8559457942426429,0.8542428158361645,0.0013447737639466848,1
152.16876331965128,1.3640552122527099,3.186274766921997,0.38618073457387625,120,2,4,sqrt,,log_loss,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'log_loss'}",0.8507366943971134,0.852237190281453,0.8543821666265736,0.8524520171017134,0.001495990166181759,2
137.1578120390574,2.320107594867075,3.0856525897979736,0.30591972007023355,100,10,2,sqrt,,log_loss,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'log_loss'}",0.8521399218201864,0.85143532996552,0.8514754229813166,0.8516835582556744,0.0003231126116795144,3
158.78124070167542,0.4256290885923093,2.9797277450561523,0.4989084856073871,120,15,1,sqrt,30,entropy,"{'n_estimators': 120, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'entropy'}",0.8511777087300791,0.8498717023494508,0.8523975623446396,0.8511489911413898,0.0010313779468099744,4
114.06733274459839,0.45381628731557316,3.3090938727060952,0.11491026773079753,120,5,4,sqrt,,gini,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.8473088102636063,0.8509141207601636,0.8549234223398284,0.8510487844545328,0.003110110394693727,5
121.29358005523682,0.411238124937866,1.2004512945810955,0.13722191336657605,120,10,2,sqrt,30,log_loss,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.8498546657311817,0.848588725843958,0.8533197017079625,0.8505876977610339,0.0019997558391030876,6
109.70270093282063,0.8628153817733422,2.266549746195475,0.185470104454066,120,15,4,sqrt,,gini,"{'n_estimators': 120, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.8504159567004109,0.8492903536203993,0.8518162136155881,0.8505075079787995,0.0010332080804480673,7
156.61776987711588,0.8906106606005888,3.4090025424957275,0.23022249315372706,120,15,2,sqrt,30,entropy,"{'n_estimators': 120, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'entropy'}",0.8490929137015135,0.8486889583834496,0.853720631865929,0.8505008346502972,0.002282705347767534,8
54.55589373906454,0.6956603289506881,0.8561030228932699,0.1206896176598318,80,10,1,sqrt,,gini,"{'n_estimators': 80, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.8494136513982159,0.8491099350493144,0.8527984925026061,0.8504406929833789,0.00167182033221253,9
117.93465932210286,3.4280448998368227,1.9908295472462971,0.2229921345512936,80,15,2,sqrt,30,log_loss,"{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.8490327753833817,0.8472456098147703,0.8531994226605726,0.8498259359529081,0.002494500566913657,10
154.6895834604899,0.9827350617156527,2.5154081185658774,0.17553005021729537,120,10,4,sqrt,30,log_loss,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.8487922221108549,0.8490698420335178,0.851495469489215,0.8497858445445292,0.0012141886986745836,11
121.55772153536479,0.7978156702777159,3.029532512029012,0.15796786973059415,120,5,1,sqrt,,gini,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.8486518993685477,0.8484083072728731,0.8510143532996552,0.8493581866470254,0.001175301454445143,12
76.27091979980469,0.7593451722823569,1.599311351776123,0.4873868902336648,50,10,1,sqrt,,log_loss,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'log_loss'}",0.849193144231733,0.8469248656883971,0.8501924464758239,0.8487701521319847,0.0013671046748334875,13
64.29072753588359,1.6303671036910858,1.8739834626515706,0.4250515145242486,50,10,1,sqrt,,gini,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.8474491330059136,0.8459024937855826,0.8511747253628418,0.8481754507181126,0.0022128050848568945,14
78.24648873011272,1.2999778597118277,1.9333751996358235,0.06933046878016594,50,10,1,sqrt,30,entropy,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'entropy'}",0.8468277037185526,0.8448600753748697,0.8503528185390105,0.8473468658774777,0.0022722534889764367,15
