mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
124.75833408037822,0.7832721819671431,3.143990437189738,0.7433190768440143,120,2,1,log2,30,entropy,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.7120176405733186,0.7082832170635875,0.7118715419773876,0.7107241332047645,0.0017270186075290133,1
124.80186605453491,1.8300447068487076,2.5098938941955566,0.06896044792347815,120,5,1,log2,30,entropy,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.7115565801343089,0.7089046588084356,0.7116109373747094,0.7106907254391513,0.0012631347735991665,2
130.23545662562051,0.5409071450481631,4.086707353591919,0.06218838545173656,120,2,1,sqrt,30,gini,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.7117169489826601,0.7084034961109774,0.7116911234063026,0.7106038561666468,0.0015559252383576128,3
129.2250881989797,2.8730600375579582,3.5058537324269614,0.6437766254379669,120,5,1,sqrt,30,gini,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.7120376866793625,0.708624007697859,0.7108692165824714,0.7105103036532309,0.0014165486025951891,4
85.69349145889282,2.15645169503926,3.314160108566284,0.37992318349734605,100,5,1,log2,30,gini,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini'}",0.711336072967826,0.7074412637318579,0.7099470772191484,0.7095748046396108,0.0016116916374319808,5
55.62161739667257,3.089746177427728,1.8032182852427165,0.2856548035931797,50,5,2,sqrt,30,gini,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.7113962112859578,0.7066995429396199,0.7088044262689439,0.7089667268315072,0.001920838270708785,6
86.63720528284709,0.4509133664857271,1.5195776621500652,0.03136446651219986,80,2,1,sqrt,30,gini,"{'n_estimators': 80, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.7109551969529919,0.7050757757998557,0.710849170074573,0.7089600476091403,0.002746935995011977,7
69.38263010978699,1.1248814287828224,1.7482757568359375,0.11839573768799652,50,5,1,log2,,log_loss,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'criterion': 'log_loss'}",0.7094517389996993,0.7068599150028065,0.7072207521449764,0.7078441353824941,0.0011462527072540253,8
91.76365852355957,1.5629539550580285,2.2900540033976235,0.6984350898957964,80,15,1,sqrt,,gini,"{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.7094717851057432,0.7055769384973137,0.7078021008740277,0.7076169414923615,0.001595445710611469,9
116.05411513646443,1.0920919978255739,2.5313881238301597,0.40358124299365533,120,10,2,sqrt,30,gini,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.7087501252881627,0.7053163338946355,0.7079825194451127,0.7073496595426371,0.0014715331179162537,10
129.30073364575705,1.1525714381528045,3.2577785650889077,0.8448611873899359,120,10,4,log2,,entropy,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.7093715545755237,0.7049955897682624,0.7073811242081629,0.7072494228506496,0.0017889057985773559,11
93.12015295028687,1.3668805537371258,0.11201906204223633,0.006939453144073633,120,10,4,sqrt,30,log_loss,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.7100531221810163,0.7056370780210087,0.7059778686552802,0.7072226896191017,0.0020062478959094352,12
158.57662510871887,2.236271291929139,2.5154369672139487,0.2581411900085666,100,15,1,sqrt,30,entropy,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'entropy'}",0.7081687882128896,0.7048552642129741,0.707200705637078,0.7067415860209806,0.0013911514273958446,13
86.61502726872762,1.374449269458228,2.146173079808553,0.0880462182323087,80,10,2,sqrt,30,gini,"{'n_estimators': 80, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.7092713240453042,0.7045144735787026,0.7063587523053484,0.7067148499764517,0.001958232324304426,14
63.8718896706899,1.7128695440037272,2.099788029988607,0.19848894148068696,50,10,2,log2,,log_loss,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'criterion': 'log_loss'}",0.707687681667836,0.7047349851655842,0.7074011707160612,0.7066079458498272,0.0013295383722459475,15
