Features,min,max,Precision,Recall,Specificity,Accuracy,F1-score,PR AUC,ROC AUC,Threshold
all_features,0,2,0.0833,0.1111,0.998,0.9966,0.0952,0.0074,0.6187,0.8019
all_features,2,5,0.0383,0.384,0.775,0.7661,0.0696,0.0325,0.616,0.5536
all_features,5,10,0.2812,0.7873,0.3898,0.4823,0.4144,0.3198,0.6344,0.3885
all_features,10,20,0.5996,0.9712,0.1902,0.6239,0.7414,0.6737,0.6603,0.2505
all_features,20,50,0.8122,0.9914,0.2351,0.817,0.8929,0.8679,0.7101,0.2136
all_features,50,100,0.904,0.9884,0.3829,0.9004,0.9444,0.9383,0.7878,0.2543
all_features,100,200,0.925,1,0.3684,0.9281,0.961,0.9524,0.7854,0.2023
all_features_bcg,0,2,0.5455,0.6667,0.9991,0.9986,0.6,0.575,0.9974,0.9459
all_features_bcg,2,5,0.7012,0.6928,0.9931,0.9863,0.697,0.7434,0.9897,0.8632
all_features_bcg,5,10,0.8376,0.8909,0.9476,0.9344,0.8634,0.9383,0.9814,0.6972
all_features_bcg,10,20,0.9017,0.9476,0.8711,0.9136,0.9241,0.9751,0.9731,0.5702
all_features_bcg,20,50,0.9403,0.9727,0.794,0.9315,0.9562,0.9882,0.9682,0.4832
all_features_bcg,50,100,0.9425,0.9966,0.6423,0.9451,0.9688,0.9925,0.9655,0.1565
all_features_bcg,100,200,0.9427,1,0.5263,0.9461,0.9705,0.9899,0.9396,0.0448
all_features_sigmas,0,2,0.1761,0.2661,0.9664,0.948,0.212,0.1577,0.7886,0.1674
all_features_sigmas,2,5,0.3476,0.5364,0.869,0.8308,0.4218,0.3979,0.8171,0.3334
all_features_sigmas,5,10,0.6275,0.8252,0.6631,0.7291,0.7129,0.7477,0.8253,0.5215
all_features_sigmas,10,20,0.7957,0.9469,0.5086,0.8018,0.8647,0.9072,0.8502,0.6123
all_features_sigmas,20,50,0.8864,0.9841,0.4674,0.8851,0.9327,0.9615,0.8767,0.6225
all_features_sigmas,50,100,0.9352,0.9849,0.5887,0.9285,0.9594,0.98,0.9139,0.6623
all_features_sigmas,100,200,0.9502,0.9889,0.641,0.945,0.9691,0.98,0.8952,0.5973
