epoch,loss,val_loss
0,0.6215346455574036,0.600504994392395
1,0.4915355443954468,0.5145525336265564
2,0.4504905939102173,0.46629196405410767
3,0.43577373027801514,0.44779032468795776
4,0.4280722141265869,0.4298398494720459
5,0.4214281737804413,0.42596766352653503
6,0.41491568088531494,0.418400377035141
7,0.41172000765800476,0.41380664706230164
8,0.4043425917625427,0.4068644642829895
9,0.401880145072937,0.3978513181209564
10,0.39970827102661133,0.39556097984313965
11,0.3936983048915863,0.39067888259887695
12,0.3933880627155304,0.3858259320259094
13,0.3887581527233124,0.3835631310939789
14,0.3862989842891693,0.38297560811042786
15,0.3833524286746979,0.36986422538757324
16,0.38009166717529297,0.37801605463027954
17,0.3768291771411896,0.3651579022407532
18,0.3760563135147095,0.3640748858451843
19,0.37253904342651367,0.37083160877227783
20,0.3725179433822632,0.3571162819862366
21,0.36862435936927795,0.3601878881454468
22,0.3672213852405548,0.3641650974750519
23,0.36641374230384827,0.3508549630641937
24,0.36166203022003174,0.3553023040294647
25,0.36044788360595703,0.3518018424510956
26,0.35955190658569336,0.35173356533050537
27,0.35865673422813416,0.3439487814903259
28,0.35535478591918945,0.3459990918636322
29,0.3545854687690735,0.34785154461860657
30,0.35322657227516174,0.34679847955703735
31,0.3514409363269806,0.34273234009742737
32,0.3515210449695587,0.33380118012428284
33,0.34845322370529175,0.3445802927017212
34,0.3504418730735779,0.352371484041214
35,0.3487272560596466,0.3318694233894348
36,0.3488500416278839,0.33049964904785156
37,0.3460441827774048,0.3437955677509308
38,0.34527388215065,0.3386848568916321
39,0.3464755117893219,0.3354715406894684
40,0.3460372984409332,0.33191901445388794
41,0.34400323033332825,0.3367004990577698
42,0.3430335521697998,0.33332589268684387
43,0.34153446555137634,0.33013588190078735
44,0.34367889165878296,0.3341025710105896
45,0.3422277271747589,0.3357151746749878
46,0.340436726808548,0.3331677317619324
47,0.33995336294174194,0.33198967576026917
48,0.33891627192497253,0.33372440934181213
49,0.34004542231559753,0.327199786901474
50,0.33813196420669556,0.33408719301223755
51,0.33790576457977295,0.3337595462799072
52,0.3376721441745758,0.32744547724723816
53,0.33758899569511414,0.3348484933376312
54,0.3372966945171356,0.3281637132167816
55,0.3346610963344574,0.32952648401260376
56,0.3362163007259369,0.3283490240573883
57,0.3353103697299957,0.3332967758178711
58,0.3349120616912842,0.33315587043762207
59,0.33396637439727783,0.32598310708999634
