    49 WH J000143.3+015807     0.43026    1.96871  1.1127 22.412 19.018   6.03 0.557  28.50   1.28  11          
    50 WH J000145.6-001044     0.44017   -0.17897  0.6803 19.483 17.625   7.75 0.645  34.85   1.55  15          
    51 WH J000147.6-011342     0.44845   -1.22828  0.9930 22.028 18.972   5.80 0.518  22.99   1.04  10          
    52 WH J000152.2-004454     0.46766   -0.74825  1.0572 21.865 18.506  12.16 0.758  70.54   3.05  28          
    53 WH J000156.0+022338     0.48350    2.39392  0.8042 21.520 19.157   5.15 0.552  25.33   1.14  16          
    54 WH J000157.1+004221     0.48772    0.70581  0.3542 17.644 17.361   7.25 0.756  39.98   1.77  29  WHL     
    55 WH J000157.7+021859     0.49026    2.31638  0.7433 21.006 18.599  10.39 0.743  49.01   2.15  30          
    56 WH J000159.2+013926     0.49648    1.65717  0.5359 19.297 18.062   5.27 0.608  23.81   1.08  17  WHL     
    57 WH J000159.2+001726     0.49685    0.29049  0.6905 19.632 17.832   6.96 0.606  28.35   1.27  12  WHL     
    58 WH J000201.4+002151     0.50592    0.36421  0.2919 17.954 17.854   6.24 0.685  23.08   1.04  19  WHL     
    59 WH J000201.5+005109     0.50619    0.85255  0.7463 19.450 17.965   8.88 0.709  47.00   2.07  23          
    60 WH J000204.4+010619     0.51837    1.10519  1.1780 22.437 19.085   8.14 0.629  43.04   1.90  17          
    61 WH J000207.9+020935     0.53282    2.15964  0.8670 20.363 18.027   6.58 0.700  47.53   2.09  23          
    62 WH J000209.1-002009     0.53800   -0.33571  0.6818 19.572 18.131   5.69 0.621  30.77   1.38  19          
    63 WH J000211.2+012536     0.54681    1.42662  0.9946 21.485 18.917   5.39 0.489  17.11   0.78   9          
    64 WH J000211.6-003920     0.54814   -0.65559  1.3277 22.899 18.724   5.27 0.499  25.99   1.17  10          
    65 WH J000212.6-010447     0.55270   -1.07970  0.6851 19.317 18.003   8.20 0.886  76.21   3.29  40          
    66 WH J000213.8+021905     0.55741    2.31816  1.1421 21.908 18.954   5.93 0.532  27.45   1.23  11          
    67 WH J000214.4+003700     0.55993    0.61657  1.2863 22.248 18.667   6.70 0.553  34.09   1.52  10          
    68 WH J000215.1+014513     0.56312    1.75362  0.4182 18.349 17.761   5.37 0.550  16.30   0.75  12          
    69 WH J000217.0+020155     0.57066    2.03197  1.1745 22.595 19.166   6.02 0.583  35.12   1.56  15          
    70 WH J000218.8-003558     0.57816   -0.59936  1.6248 23.877 19.550   6.85 0.432  21.60   0.98   6          
    71 WH J000219.5+013125     0.58127    1.52353  0.8276 20.040 17.918  10.07 0.749  55.69   2.43  33          
    72 WH J000223.5+004225     0.59806    0.70686  1.3606 22.455 18.613   5.15 0.457  22.84   1.03   7          
    73 WH J000225.2-011226     0.60483   -1.20709  0.7377 19.740 17.546   6.43 0.601  26.90   1.21  15          
    74 WH J000225.2-003213     0.60516   -0.53687  0.2850 17.807 17.140   9.44 0.780  42.17   1.86  33  WHL     
