permutation,gini,feature
0.007025213090229299,0.016726144575284888,W1
0.004610284379584033,0.01332938414613344,W1_err
0.004567857187575945,0.012084122983280479,g_cmodel_mag
0.004608732847777075,0.013913712840000432,r_cmodel_mag
0.00464892038429332,0.011597123826081033,i_cmodel_mag
0.00400731646691536,0.011369487968613182,z_cmodel_mag
0.003843659161289407,0.012091926475188317,y_cmodel_mag
0.0034275523412942896,0.010529011789931089,g_cmodel_magsigma
0.001955498965958665,0.01018661494183355,r_cmodel_magsigma
0.0008517195578631176,0.008017589519104279,i_cmodel_magsigma
0.0013865918315231947,0.009533959386484797,z_cmodel_magsigma
0.000955357983994524,0.010090144713373808,y_cmodel_magsigma
0.0031219713207878788,0.00409686971042046,g_cmodel_fracdev
0.007770739589464837,0.006675192742343953,r_cmodel_fracdev
0.004019860835366799,0.009846018333994547,i_cmodel_fracdev
0.0018403036049837729,0.007997094336848863,z_cmodel_fracdev
0.0019873073413599895,0.006538585955600183,y_cmodel_fracdev
0.003672303908138811,0.010889827091467083,g_kronflux_mag
0.003793023376179742,0.013082436652599099,r_kronflux_mag
0.00461037057837869,0.012410466828996932,i_kronflux_mag
0.004180941442207413,0.012216836077783507,z_kronflux_mag
0.0057465717944020405,0.011692404709851754,y_kronflux_mag
0.003287482090672903,0.010423020843671667,g_kronflux_magsigma
0.0024416523128298895,0.013361236707615506,r_kronflux_magsigma
0.0010049091734231446,0.00960918819440651,i_kronflux_magsigma
0.0007992692522388692,0.009580347812881638,z_kronflux_magsigma
0.0011932314334851164,0.008908519971478969,y_kronflux_magsigma
0.0009691983167228561,0.0077335234063037155,i_kronflux_radius
0.001024857737618438,0.007273429010433526,r_sdssshape_shape11
0.000754236153088117,0.007201328119172011,i_sdssshape_shape11
0.000705179060372633,0.007133492514502537,z_sdssshape_shape11
0.0011679544008105225,0.007199394822237838,y_sdssshape_shape11
9.808828251996655e-05,0.007339528915510462,r_sdssshape_shape12
0.00029083809240304515,0.0071906461349677785,i_sdssshape_shape12
0.0001268319774074452,0.007184139969105348,z_sdssshape_shape12
0.00017976334781077963,0.0072912881667052095,y_sdssshape_shape12
0.001103568784003232,0.007385439037717205,r_sdssshape_shape22
0.0008614167068276002,0.0071704614745214225,i_sdssshape_shape22
0.0007345138573155626,0.007124150257721515,z_sdssshape_shape22
0.0008116190741213428,0.007280698939068077,y_sdssshape_shape22
0.0009669357234550757,0.007190920396402519,r_sdssshape_shape11sigma
0.0008661557734367017,0.007715825488032737,i_sdssshape_shape11sigma
0.0008944885959783674,0.007961467025607972,z_sdssshape_shape11sigma
0.0009054165911096165,0.008577462387803771,y_sdssshape_shape11sigma
0.0008857271479189762,0.00726061799177434,r_sdssshape_shape12sigma
0.0008630830148574908,0.007530896540445964,i_sdssshape_shape12sigma
0.0007358321582819164,0.008543778307436491,z_sdssshape_shape12sigma
0.001179940559045504,0.008901188267967097,y_sdssshape_shape12sigma
0.0016027599851764125,0.007521663529829301,r_sdssshape_shape22sigma
0.001295670940001196,0.008396192076622365,i_sdssshape_shape22sigma
0.0013468421004505515,0.009839786820374619,z_sdssshape_shape22sigma
0.0010618247433438939,0.010426366720600608,y_sdssshape_shape22sigma
0.0966206947613466,0.04490085554252375,gr
0.05444750598544438,0.03772206638504491,ri
0.011778628217570994,0.020622076245335092,iz
0.002925648367272937,0.011161816642128407,zy
0.01762912906478087,0.022071911261963954,W1g
0.020509907932440452,0.024720604480614382,W1r
0.00874824827069376,0.019261921315493206,W1i
0.007122731027030316,0.016625243235046584,W1z
0.006416567071682662,0.015919681770928392,W1y
0.40827150571155174,0.3058228676647869,z_cl_near
