feature,permutation_train,permutation_test,gini
W1,0.0028230492360572512,0.008282034310824119,0.016726144575284888
W1_err,0.0011887375297331415,0.004482626141425694,0.01332938414613344
g_cmodel_mag,7.945275855758549e-05,-0.0004889538999478527,0.012084122983280479
r_cmodel_mag,0.00014234725024971548,0.0009897813002144689,0.013913712840000432
i_cmodel_mag,0.00015447607895839136,0.0022996488732725715,0.011597123826081033
z_cmodel_mag,0.0002674164141025874,0.0029874740815579357,0.011369487968613182
y_cmodel_mag,0.00018324307020604427,0.0034285529886534105,0.012091926475188317
g_cmodel_magsigma,0.00014293099759839686,-7.880080991299702e-05,0.010529011789931089
r_cmodel_magsigma,0.00012939380197085626,0.0008896571863989585,0.01018661494183355
i_cmodel_magsigma,8.158622252093146e-05,0.0007676145421414334,0.008017589519104279
z_cmodel_magsigma,9.447168523646354e-05,-0.0006867370819330088,0.009533959386484797
y_cmodel_magsigma,0.00013712031332957508,5.6833603044426084e-05,0.010090144713373808
g_cmodel_fracdev,6.106404407676032e-05,0.004376024078527034,0.00409686971042046
r_cmodel_fracdev,0.00022509233939967585,0.006579104501453603,0.006675192742343953
i_cmodel_fracdev,0.0003304777503368624,0.003883955025841009,0.009846018333994547
z_cmodel_fracdev,0.00018968395321946238,0.001763800009964937,0.007997094336848863
y_cmodel_fracdev,0.00017956063115894447,0.002003287227870132,0.006538585955600183
g_kronflux_mag,0.00011702639636420227,-0.000492890506180658,0.010889827091467083
r_kronflux_mag,0.0001680874301830393,0.0016246125194215866,0.013082436652599099
i_kronflux_mag,0.00011746904803940546,0.0022291834874165195,0.012410466828996932
z_kronflux_mag,0.0002740579927402731,0.002663203802030519,0.012216836077783507
y_kronflux_mag,0.00018262701235005618,0.0037343928265412365,0.011692404709851754
g_kronflux_magsigma,0.00013423483006317719,-0.0001986885440296756,0.010423020843671667
r_kronflux_magsigma,0.00016060998873142682,0.0008510292816194717,0.013361236707615506
i_kronflux_magsigma,8.785938336201375e-05,0.0005340574415250895,0.00960918819440651
z_kronflux_magsigma,0.00010527157641985567,4.1629634773239964e-05,0.009580347812881638
y_kronflux_magsigma,0.0001392991106803354,-0.0008256828596724756,0.008908519971478969
i_kronflux_radius,7.173066574121349e-05,-0.00019972030064459764,0.0077335234063037155
r_sdssshape_shape11,6.977607119425706e-05,-2.6441494490085187e-05,0.007273429010433526
i_sdssshape_shape11,7.978638056393983e-05,0.00027714485737195815,0.007201328119172011
z_sdssshape_shape11,7.199371548072264e-05,-0.00022891273922827823,0.007133492514502537
y_sdssshape_shape11,6.52990592637422e-05,0.00015677468391339655,0.007199394822237838
r_sdssshape_shape12,5.133133872451771e-05,-5.632093961320065e-05,0.007339528915510462
i_sdssshape_shape12,4.673085293260826e-05,1.0459696664540571e-05,0.0071906461349677785
z_sdssshape_shape12,4.652247711445234e-05,-1.414872875926676e-05,0.007184139969105348
y_sdssshape_shape12,4.967944095949731e-05,0.0003473679035088291,0.0072912881667052095
r_sdssshape_shape22,6.29526769188778e-05,0.0002377656137754943,0.007385439037717205
i_sdssshape_shape22,6.39555940654309e-05,0.00024456310081407323,0.0071704614745214225
z_sdssshape_shape22,7.193041406838852e-05,-0.00029242612862123707,0.007124150257721515
y_sdssshape_shape22,7.072896224472973e-05,3.6668745171275496e-05,0.007280698939068077
r_sdssshape_shape11sigma,5.1430657064514364e-05,-0.00014667086571222102,0.007190920396402519
i_sdssshape_shape11sigma,7.45186203236307e-05,0.0006570230713504044,0.007715825488032737
z_sdssshape_shape11sigma,8.489989230938318e-05,0.00014500230043050047,0.007961467025607972
y_sdssshape_shape11sigma,0.00012935430075444732,0.0008363664266342422,0.008577462387803771
r_sdssshape_shape12sigma,5.25567831171451e-05,-2.290668871977412e-05,0.00726061799177434
i_sdssshape_shape12sigma,8.203861406793263e-05,0.00015587656757202564,0.007530896540445964
z_sdssshape_shape12sigma,0.00011296186983159966,0.00048541833932484274,0.008543778307436491
y_sdssshape_shape12sigma,0.00014770954245128345,0.0009194257882001455,0.008901188267967097
r_sdssshape_shape22sigma,9.91493927626023e-05,0.0013087280939590624,0.007521663529829301
i_sdssshape_shape22sigma,0.0001334595793079929,0.0019818753650726975,0.008396192076622365
z_sdssshape_shape22sigma,0.00015842747744946686,0.000498376785515342,0.009839786820374619
y_sdssshape_shape22sigma,0.00022549789752083585,0.0011629655765288405,0.010426366720600608
gr,0.0252456450624922,0.0702416098274945,0.04490085554252375
ri,0.0029189997611602423,0.016858608717099433,0.03772206638504491
iz,0.0012432362948034958,0.004422996280874576,0.020622076245335092
zy,0.0004146527707657259,0.003927522782795512,0.011161816642128407
W1g,0.0007529495911694125,0.010501685178529415,0.022071911261963954
W1r,0.0008606697769462842,0.01853109686156984,0.024720604480614382
W1i,0.0003312547656245668,0.009511148131506145,0.019261921315493206
W1z,0.0004984300072436257,0.009244884915519225,0.016625243235046584
W1y,0.0002465603782513999,0.008570031413578594,0.015919681770928392
z_cl_near,0.06234998536400419,0.16113384916960727,0.3058228676647869
