mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
469.72634971141815,10.805879950523376,5.681551694869995,0.06311464309692383,175,10,10,sqrt,50,entropy,"{'n_estimators': 175, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 50, 'criterion': 'entropy'}",0.5198914969919504,0.5207576764247663,0.5203245867083583,0.0004330897164079861,34,-0.5460850373457633,-0.5375423572186888,-0.5418136972822261,0.004271340063537243,17
411.4996476173401,5.644602537155151,5.3313024044036865,0.10563874244689941,175,5,20,sqrt,,entropy,"{'n_estimators': 175, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.5208115448803173,0.5207892233866496,0.5208003841334834,1.1160746833882573e-05,31,-0.5608894828201405,-0.5504132018866943,-0.5556513423534174,0.005238140466723107,27
472.38933193683624,1.4552556276321411,5.8065186738967896,0.014809489250183105,200,5,20,sqrt,20,entropy,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy'}",0.5223659166372044,0.5224596996446407,0.5224128081409225,4.689150371811612e-05,2,-0.5614154396576546,-0.5510203061249181,-0.5562178728912863,0.0051975667663682334,28
461.73723900318146,7.682591557502747,5.649201393127441,0.14182615280151367,175,5,10,sqrt,20,entropy,"{'n_estimators': 175, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy'}",0.5211264865475629,0.5212365751642698,0.5211815308559163,5.504430835345797e-05,22,-0.5491648965397231,-0.5405777482329578,-0.5448713223863404,0.004293574153382662,23
345.06268429756165,3.230713367462158,5.650085091590881,0.04515278339385986,150,5,1,sqrt,80,gini,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'gini'}",0.5099394646792366,0.513227912056765,0.5115836883680007,0.0016442236887642125,49,-0.5298838880936924,-0.5298563017737449,-0.5298700949337186,1.3793159973740643e-05,6
568.6694436073303,12.8941490650177,6.333927631378174,0.010662555694580078,175,10,1,sqrt,80,entropy,"{'n_estimators': 175, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy'}",0.5156748244614748,0.5176056318617872,0.516640228161631,0.0009654037001561866,39,-0.5292190279926948,-0.5257513826293093,-0.5274852053110021,0.0017338226816927538,3
657.6520278453827,7.510063171386719,7.744760155677795,0.3218461275100708,200,5,1,sqrt,,entropy,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.517384458898403,0.5161374505719393,0.5167609547351711,0.0006235041632318694,37,-0.5261796012264488,-0.5266355400602724,-0.5264075706433606,0.0002279694169117774,1
219.05871522426605,1.7489980459213257,3.7663938999176025,0.01659417152404785,150,10,50,sqrt,20,gini,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini'}",0.521504353896578,0.5211150446942354,0.5213096992954067,0.00019465460117129574,18,-0.5780203929843374,-0.566051795466738,-0.5720360942255377,0.005984298758799689,42
480.005562543869,8.489925146102905,5.783225893974304,0.006898045539855957,200,10,20,sqrt,80,entropy,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy'}",0.5215470931853411,0.5235764264947744,0.5225617598400578,0.0010146666547166672,1,-0.5610800008682867,-0.5494221622167834,-0.5552510815425351,0.005828919325751637,25
346.3321363925934,4.057902574539185,5.916362047195435,0.015562295913696289,150,5,1,sqrt,,gini,"{'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'gini'}",0.5104774039678177,0.5124086002060001,0.511443002086909,0.0009655981190911933,50,-0.5300691429313743,-0.5297858897323952,-0.5299275163318847,0.0001416265994895749,7
348.3397639989853,5.822705149650574,5.563547730445862,0.1341170072555542,150,10,1,sqrt,80,gini,"{'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'gini'}",0.5103723506127384,0.5145121542768463,0.5124422524447924,0.002069901832053911,46,-0.5325724557552419,-0.5293760732875423,-0.5309742645213922,0.0015981912338497994,10
343.984143614769,4.637037873268127,5.774410247802734,0.015788793563842773,200,5,20,sqrt,50,gini,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 50, 'criterion': 'gini'}",0.5211191599293241,0.523067332386285,0.5220932461578045,0.0009740862284804419,4,-0.5625714522203721,-0.5513273511560356,-0.5569494016882038,0.0056220505321682435,33
