mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,split3_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,split2_test_neg_log_loss,split3_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
345.749319255352,1.185575237940395,0.8875813484191895,0.10516623197588111,entropy,20,0.4,0.5,0.001,0.001,125,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.001, 'min_samples_split': 0.001, 'n_estimators': 125}",0.5210201628286997,0.5395005448904552,0.5294064019228979,0.5233035507646258,0.5283076651016696,0.007152563006455748,106,-0.5846583610084393,-0.5689951263324997,-0.5701751809798837,-0.5672287192204162,-0.5727643468853097,0.0069466097714476075,124
421.96964848041534,1.7861843782829097,0.9401702284812927,0.09609871131258738,entropy,20,0.4,0.5,0.001,0.001,150,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.001, 'min_samples_split': 0.001, 'n_estimators': 150}",0.5212856630280469,0.5401152478447662,0.5292893428895924,0.5219208379316607,0.5281527729235165,0.007589249132629765,121,-0.585644616633045,-0.5696639684975924,-0.5697417114742258,-0.5670027947186842,-0.5730132728308869,0.007375595681248558,134
454.8650006055832,0.8772914424614717,0.9077281355857849,0.05156437057191466,entropy,20,0.4,0.5,0.001,0.001,175,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.001, 'min_samples_split': 0.001, 'n_estimators': 175}",0.5200060407344212,0.5392473896212574,0.5277888301179083,0.5240132595543499,0.5277638800069842,0.007178489387186194,134,-0.5845921474241029,-0.5686809553284222,-0.5701129322953902,-0.5664731693211547,-0.5724648010922675,0.007120761123910597,111
319.8626979589462,3.3319806687460933,0.6317651867866516,0.048907453785982526,entropy,20,0.4,0.5,0.001,0.0001,125,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.001, 'min_samples_split': 0.0001, 'n_estimators': 125}",0.5218605444853167,0.5409123581733252,0.528643786749218,0.5237678405782404,0.5287961324965251,0.0074197748374626605,56,-0.5845582675478114,-0.5693824807903067,-0.5701622873498864,-0.5667840512367239,-0.5727217717311821,0.006947319306273821,123
372.40380614995956,2.4916430846528326,0.7144762277603149,0.007723937272971491,entropy,20,0.4,0.5,0.001,0.0001,150,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.001, 'min_samples_split': 0.0001, 'n_estimators': 150}",0.5211432400377028,0.5391516623637829,0.5286834474903537,0.5247633777252819,0.5284354319042803,0.006737194354933361,91,-0.5853553472596297,-0.56902183498456,-0.569718936858524,-0.5664678594271044,-0.5726409946324545,0.007439742925377592,120
435.3132856488228,0.792795172814555,0.926547110080719,0.06750454654324234,entropy,20,0.4,0.5,0.001,0.0001,175,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.001, 'min_samples_split': 0.0001, 'n_estimators': 175}",0.521952363574469,0.5395208639629683,0.5291491172938629,0.5242297101519742,0.5287130137458186,0.006760292421095919,66,-0.5848261409807138,-0.569912706363822,-0.5705321905062193,-0.5664273162649669,-0.5729245885289305,0.007047277845207186,132
357.91370725631714,2.6942211474887077,0.6830626726150513,0.02320803655501172,entropy,20,0.4,0.5,0.0005,0.001,125,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.0005, 'min_samples_split': 0.001, 'n_estimators': 125}",0.5218531426730593,0.5392473367270614,0.5296478906923792,0.5244184577268001,0.5287917069548249,0.0066581196224824585,58,-0.5765746738764613,-0.5576294432618194,-0.5600627088150992,-0.5577077197704039,-0.562993636430946,0.007901746612042869,55
429.407273709774,2.2989465256901105,0.8489479422569275,0.02857874332882243,entropy,20,0.4,0.5,0.0005,0.001,150,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.0005, 'min_samples_split': 0.001, 'n_estimators': 150}",0.5228079595741373,0.5387505094512992,0.5298352003976048,0.5247794631067236,0.5290432831324412,0.006162726605343689,26,-0.5760733122646882,-0.5570328333277136,-0.5593391410761426,-0.5568724319202776,-0.5623294296472054,0.007994824762068326,37
500.758036673069,3.1370567051696576,0.9461992383003235,0.03568418120838903,entropy,20,0.4,0.5,0.0005,0.001,175,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.0005, 'min_samples_split': 0.001, 'n_estimators': 175}",0.5224654552117645,0.5392300204571799,0.5287526935242106,0.525081575346581,0.528882436134934,0.006377960515552537,43,-0.5758580264633988,-0.556617115616496,-0.5597121979332399,-0.5568499269869996,-0.5622593167500336,0.007945260401254121,35
355.8382958769798,2.195194176402396,0.6886017322540283,0.04456790631682266,entropy,20,0.4,0.5,0.0005,0.0001,125,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 0.4, 'max_samples': 0.5, 'min_samples_leaf': 0.0005, 'min_samples_split': 0.0001, 'n_estimators': 125}",0.5216886502144905,0.5378152407219747,0.5301084119109682,0.5242510179854759,0.5284658302082273,0.006200894337619998,89,-0.5749705412899788,-0.5572154178454949,-0.5596705236252912,-0.5578132180698913,-0.562417425207664,0.007303865340401822,42
