mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
263.30681240558624,3.623039126396179,1.6002451181411743,0.015406966209411621,150,0.0001,0.0005,0.75,0.4,50,gini,"{'n_estimators': 150, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.0005, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'gini'}",0.5242730736165904,0.5253351828274477,0.524804128222019,0.0005310546054286824,31
286.8773367404938,9.12688946723938,1.6791770458221436,0.00012540817260742188,150,0.001,0.0005,0.5,0.4,30,entropy,"{'n_estimators': 150, 'min_samples_split': 0.001, 'min_samples_leaf': 0.0005, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'entropy'}",0.5260497457807269,0.5254426659882916,0.5257462058845093,0.00030353989621767496,7
140.71818387508392,1.3666132688522339,0.6123350858688354,0.0002092123031616211,100,0.01,0.001,0.5,0.4,20,entropy,"{'n_estimators': 100, 'min_samples_split': 0.01, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'entropy'}",0.5237322346083215,0.5233057668579475,0.5235190007331345,0.0002132338751870133,58
128.5318020582199,3.4985817670822144,1.1295086145401,0.015822768211364746,100,0.001,0.0005,0.5,0.4,30,gini,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 0.0005, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'gini'}",0.5254790681780712,0.5234555035309162,0.5244672858544936,0.0010117823235775147,43
389.8133478164673,3.1109538078308105,1.72357976436615,0.1904224157333374,175,0.0001,0.002,0.75,0.4,20,entropy,"{'n_estimators': 175, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.002, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'entropy'}",0.5261673792150608,0.5241995859695657,0.5251834825923133,0.0009838966227475598,20
240.13064241409302,13.706818103790283,0.865606427192688,0.019186854362487793,100,0.01,0.0005,0.75,0.4,20,entropy,"{'n_estimators': 100, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0005, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'entropy'}",0.524083557288206,0.5252834551545007,0.5246835062213533,0.000599948933147354,35
363.77111876010895,14.603344321250916,1.1436136960983276,0.0008851289749145508,150,0.01,0.0005,0.75,0.4,50,entropy,"{'n_estimators': 150, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0005, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.5254335211054277,0.5242296458286239,0.5248315834670259,0.0006019376384019393,29
250.86327052116394,4.472316265106201,1.2634425163269043,0.11855220794677734,150,0.01,0.0005,0.5,0.4,30,entropy,"{'n_estimators': 150, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0005, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'entropy'}",0.5257877378727618,0.5229327504310413,0.5243602441519015,0.0014274937208602623,47
548.0191006660461,5.714574575424194,1.9007710218429565,0.009241700172424316,175,0.001,0.0005,0.75,0.4,30,entropy,"{'n_estimators': 175, 'min_samples_split': 0.001, 'min_samples_leaf': 0.0005, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'entropy'}",0.5244928866522305,0.5251056116881327,0.5247992491701816,0.0003063625179511309,32
160.19105637073517,0.3995283842086792,1.0578324794769287,0.2421550750732422,100,0.001,0.002,0.5,0.4,20,entropy,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 0.002, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'entropy'}",0.5240862463574859,0.5223611900678671,0.5232237182126764,0.0008625281448094158,66
