mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
109.38537836074829,0.6310968399047852,1.6232874393463135,0.00431060791015625,175,0.0001,0.001,0.5,0.2,100,gini,"{'n_estimators': 175, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 100, 'criterion': 'gini'}",0.5221131243510403,0.5231611991876068,0.5226371617693235,0.0005240374182832741,38,-0.575535721082124,-0.5637604441523,-0.569648082617212,0.005887638464912026,60
151.05499267578125,1.8854560852050781,1.1390821933746338,0.023324251174926758,175,5e-05,0.005,0.75,0.2,50,entropy,"{'n_estimators': 175, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.005, 'max_samples': 0.75, 'max_features': 0.2, 'max_depth': 50, 'criterion': 'entropy'}",0.5214470086732217,0.5201388365217623,0.520792922597492,0.0006540860757296985,69,-0.5917569717214648,-0.5810687288731121,-0.5864128502972885,0.00534412142417634,91
71.35709857940674,1.3819375038146973,0.9766556024551392,0.003171086311340332,125,0.01,0.0001,0.5,0.2,50,gini,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0001, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 50, 'criterion': 'gini'}",0.5200187393129581,0.5209173994635924,0.5204680693882753,0.00044933007531716695,71,-0.5878389377164777,-0.575024980881952,-0.5814319592992148,0.006406978417262843,76
128.2314876317978,3.7848507165908813,1.076261281967163,0.055234670639038086,150,0.01,0.0001,0.5,0.2,100,entropy,"{'n_estimators': 150, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0001, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 100, 'criterion': 'entropy'}",0.5226832641920777,0.522838262229072,0.5227607632105749,7.749901849718466e-05,36,-0.5856757680807964,-0.5736896497144144,-0.5796827088976053,0.005993059183190985,69
269.7923581600189,3.209373950958252,1.532991886138916,0.008033514022827148,125,0.001,0.0001,0.75,0.4,100,gini,"{'n_estimators': 125, 'min_samples_split': 0.001, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 100, 'criterion': 'gini'}",0.5225514661245122,0.5240970438290264,0.5233242549767694,0.0007727888522571225,31,-0.550333753025107,-0.5408706340893008,-0.545602193557204,0.0047315594679031014,33
128.9949985742569,0.7921856641769409,0.9025930166244507,0.007761836051940918,100,0.0001,0.001,0.5,0.3,20,entropy,"{'n_estimators': 100, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.5223076725546587,0.5247373627919059,0.5235225176732823,0.0012148451186235754,27,-0.5739063624345844,-0.561348411612726,-0.5676273870236552,0.0062789754109291995,54
89.51671838760376,0.7015373706817627,1.344177484512329,0.024522781372070312,150,0.001,0.001,0.5,0.2,50,gini,"{'n_estimators': 150, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 50, 'criterion': 'gini'}",0.5225653588501079,0.5237279978937077,0.5231466783719079,0.0005813195217999056,33,-0.5761209425404276,-0.5640370809718552,-0.5700790117561414,0.006041930784286165,61
385.7447781562805,5.396389484405518,2.1587116718292236,0.039047956466674805,175,0.001,5e-05,0.75,0.4,100,gini,"{'n_estimators': 175, 'min_samples_split': 0.001, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 100, 'criterion': 'gini'}",0.5196566015548703,0.5224934459490447,0.5210750237519575,0.0014184221970872102,63,-0.54939388236195,-0.5391860790184261,-0.544289980690188,0.005103901671761946,30
123.82754588127136,0.842432975769043,0.6517688035964966,0.008344054222106934,100,0.0001,0.005,0.75,0.3,20,entropy,"{'n_estimators': 100, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.005, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.5231281456866335,0.5198259930573477,0.5214770693719906,0.0016510763146428964,56,-0.5904083810666371,-0.5797966008501962,-0.5851024909584166,0.005305890108220412,83
242.42938029766083,1.5312694311141968,0.985185980796814,0.0013097524642944336,150,0.01,0.005,0.75,0.4,20,entropy,"{'n_estimators': 150, 'min_samples_split': 0.01, 'min_samples_leaf': 0.005, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'entropy'}",0.5242984845492016,0.52094419026611,0.5226213374076558,0.001677147141545765,39,-0.5894747096349804,-0.5788846385448244,-0.5841796740899023,0.005295035545077986,80
168.44910538196564,1.8058985471725464,0.8652662038803101,0.016989827156066895,150,0.01,0.005,0.5,0.4,50,entropy,"{'n_estimators': 150, 'min_samples_split': 0.01, 'min_samples_leaf': 0.005, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.523541870317964,0.521443948268451,0.5224929092932075,0.0010489610247564896,41,-0.5909405165863773,-0.580356534204118,-0.5856485253952477,0.005291991191129608,87
117.57563281059265,1.3707199096679688,0.8709458112716675,0.00840294361114502,150,0.001,0.005,0.5,0.4,20,gini,"{'n_estimators': 150, 'min_samples_split': 0.001, 'min_samples_leaf': 0.005, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5218822222318744,0.5199450641251069,0.5209136431784906,0.0009685790533837668,67,-0.5909587400119102,-0.5808285073532318,-0.5858936236825709,0.005065116329339203,89
127.59964728355408,0.9734888076782227,0.894973874092102,0.01681816577911377,150,0.0001,0.005,0.5,0.3,20,entropy,"{'n_estimators': 150, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.005, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.5211630511595287,0.5200416642646092,0.5206023577120689,0.0005606934474597369,70,-0.5917053856718864,-0.5819799033948212,-0.5868426445333538,0.004862741138532578,97
122.60307824611664,1.3186715841293335,1.3422075510025024,0.06997525691986084,100,5e-05,0.0001,0.5,0.3,100,gini,"{'n_estimators': 100, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.0001, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 100, 'criterion': 'gini'}",0.5182407490997427,0.5214903144091138,0.5198655317544283,0.0016247826546855193,77,-0.5346926026649562,-0.529397017234528,-0.5320448099497421,0.0026477927152140923,19
223.82756340503693,5.50508439540863,1.5685657262802124,0.035039305686950684,175,0.001,0.001,0.5,0.3,20,entropy,"{'n_estimators': 175, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.5245632208135873,0.5242754342977451,0.5244193275556662,0.00014389325792107943,17,-0.5731837500391014,-0.5613156660562996,-0.5672497080477005,0.005934041991400907,51
114.62172031402588,1.3590002059936523,1.4145476818084717,0.04251670837402344,100,5e-05,5e-05,0.75,0.2,20,gini,"{'n_estimators': 100, 'min_samples_split': 5e-05, 'min_samples_leaf': 5e-05, 'max_samples': 0.75, 'max_features': 0.2, 'max_depth': 20, 'criterion': 'gini'}",0.5144385817525886,0.5180167456764231,0.5162276637145058,0.0017890819619172382,99,-0.5357234790799138,-0.5311302117414517,-0.5334268454106827,0.002296633669231052,24
282.4680709838867,2.8219151496887207,1.6762562990188599,0.009896397590637207,175,0.001,0.001,0.75,0.4,20,gini,"{'n_estimators': 175, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5250748205132154,0.5253340364848824,0.5252044284990489,0.00012960798583350197,5,-0.571480348035548,-0.559828717815588,-0.565654532925568,0.005825815109980037,46
