mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_degree,param_gamma,params,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1
5.218638062477112,0.10574877262115479,1.766865849494934,0.003253340721130371,0.1,linear,,,"{'C': 0.1, 'kernel': 'linear'}",0.6666504227479837,0.0,0.33332521137399185,0.33332521137399185,36
6.674557566642761,0.5461338758468628,1.0793132781982422,0.0008325576782226562,1,linear,,,"{'C': 1, 'kernel': 'linear'}",0.7121781115879829,0.7127959035950778,0.7124870075915304,0.00030889600354744307,29
9.062654614448547,0.3270343542098999,1.4569988250732422,0.002949953079223633,5,linear,,,"{'C': 5, 'kernel': 'linear'}",0.7163303549604845,0.71755019971198,0.7169402773362322,0.0006099223757477512,25
2.856939196586609,0.12297213077545166,1.3799092769622803,0.01378631591796875,0.1,poly,2,scale,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.6822790489008524,0.6341210808775068,0.6582000648891797,0.024078984011672803,33
3.806487202644348,0.06013762950897217,1.473240613937378,0.0517425537109375,0.1,poly,2,auto,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.7350672439996558,0.7369543293473563,0.7360107866735061,0.0009435426738502173,22
3.275230646133423,0.013448476791381836,1.2471309900283813,0.025589823722839355,0.1,poly,2,0.005,"{'C': 0.1, 'degree': 2, 'gamma': 0.005, 'kernel': 'poly'}",0.7632627252608284,0.7619712942969643,0.7626170097788963,0.000645715481932041,19
3.6876144409179688,0.06197547912597656,1.6030000448226929,0.009597182273864746,0.1,poly,2,0.1,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.6666504227479837,0.0,0.33332521137399185,0.33332521137399185,36
2.802109479904175,0.011368989944458008,1.1735247373580933,0.029268622398376465,0.1,poly,3,scale,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6822790489008524,0.6341210808775068,0.6582000648891797,0.024078984011672803,33
3.8018321990966797,0.04682660102844238,1.4780179262161255,0.02801191806793213,0.1,poly,3,auto,"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7350672439996558,0.7369543293473563,0.7360107866735061,0.0009435426738502173,22
3.3567289113998413,0.016713976860046387,1.0838322639465332,0.0020225048065185547,0.1,poly,3,0.005,"{'C': 0.1, 'degree': 3, 'gamma': 0.005, 'kernel': 'poly'}",0.7632627252608284,0.7619712942969643,0.7626170097788963,0.000645715481932041,19
3.7753701210021973,0.08902668952941895,1.3717379570007324,0.00200653076171875,0.1,poly,3,0.1,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.6666504227479837,0.0,0.33332521137399185,0.33332521137399185,36
2.5695691108703613,0.11845803260803223,0.593781590461731,0.028542637825012207,1,poly,2,scale,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.779217672155987,0.7643966255043404,0.7718071488301637,0.007410523325823315,13
5.697538137435913,0.1863086223602295,1.01285719871521,0.05553174018859863,1,poly,2,auto,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.7721388548979197,0.7715549243035605,0.7718468896007401,0.0002919652971795639,10
5.247085452079773,0.1292952299118042,0.8036586046218872,0.02814614772796631,1,poly,2,0.005,"{'C': 1, 'degree': 2, 'gamma': 0.005, 'kernel': 'poly'}",0.7864229410165805,0.7883051370920696,0.7873640390543251,0.0009410980377445588,4
6.892011523246765,0.900431752204895,1.0724596977233887,0.021756649017333984,1,poly,2,0.1,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.7121781115879829,0.7127959035950778,0.7124870075915304,0.00030889600354744307,29
2.613162398338318,0.059386372566223145,0.6805775165557861,0.06773662567138672,1,poly,3,scale,"{'C': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.779217672155987,0.7643966255043404,0.7718071488301637,0.007410523325823315,13
5.73141622543335,0.009591102600097656,0.9686801433563232,0.03852558135986328,1,poly,3,auto,"{'C': 1, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.7721388548979197,0.7715549243035605,0.7718468896007401,0.0002919652971795639,10
5.217026472091675,0.07404518127441406,0.8169794082641602,0.008709907531738281,1,poly,3,0.005,"{'C': 1, 'degree': 3, 'gamma': 0.005, 'kernel': 'poly'}",0.7864229410165805,0.7883051370920696,0.7873640390543251,0.0009410980377445588,4
6.763427972793579,0.7668540477752686,1.196968913078308,0.029013514518737793,1,poly,3,0.1,"{'C': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.7121781115879829,0.7127959035950778,0.7124870075915304,0.00030889600354744307,29
2.4526705741882324,0.03926706314086914,0.5669682025909424,0.026877164840698242,5,poly,2,scale,"{'C': 5, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.8048222661549793,0.7944245383312989,0.7996234022431391,0.0051988639118402125,1
9.91469395160675,0.13113129138946533,1.0058276653289795,0.038942813873291016,5,poly,2,auto,"{'C': 5, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.765625,0.7630870960422677,0.7643560480211338,0.001268951978866173,16
10.277358293533325,0.19965434074401855,0.7511528730392456,0.049860596656799316,5,poly,2,0.005,"{'C': 5, 'degree': 2, 'gamma': 0.005, 'kernel': 'poly'}",0.7787464817738724,0.776039864350474,0.7773931730621733,0.001353308711699197,7
