mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1
2.5682742595672607,0.013951301574707031,0.7759629487991333,0.019436001777648926,3,scale,rbf,"{'C': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.7975148483901219,0.7877079445745822,0.792611396482352,0.004903451907769862,8
8.069854617118835,0.07052695751190186,1.114576816558838,0.016658544540405273,3,0.005,rbf,"{'C': 3, 'gamma': 0.005, 'kernel': 'rbf'}",0.7831884257190969,0.781864782488224,0.7825266041036605,0.0006618216154364309,9
8.163939118385315,0.023554444313049316,1.2784851789474487,0.026723027229309082,3,0.01,rbf,"{'C': 3, 'gamma': 0.01, 'kernel': 'rbf'}",0.7699465452385666,0.7693426795397434,0.769644612389155,0.00030193284941160137,13
5.810141086578369,0.024146080017089844,0.8215693235397339,0.02324497699737549,3,0.001,rbf,"{'C': 3, 'gamma': 0.001, 'kernel': 'rbf'}",0.8046380130980927,0.8062493203320406,0.8054436667150666,0.0008056536169739337,2
2.4363478422164917,0.16587293148040771,0.5676730871200562,0.06796896457672119,5,scale,rbf,"{'C': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.8048222661549793,0.7944245383312989,0.7996234022431391,0.0051988639118402125,6
9.930988669395447,0.12080872058868408,1.1133171319961548,0.01888120174407959,5,0.005,rbf,"{'C': 5, 'gamma': 0.005, 'kernel': 'rbf'}",0.7787464817738724,0.776039864350474,0.7773931730621733,0.001353308711699197,10
10.04982328414917,0.1912529468536377,0.947417140007019,0.052634358406066895,5,0.01,rbf,"{'C': 5, 'gamma': 0.01, 'kernel': 'rbf'}",0.7672260612043436,0.7661425887471572,0.7666843249757505,0.0005417362285931593,14
7.667955636978149,0.021087646484375,0.5444865226745605,0.02526569366455078,5,0.001,rbf,"{'C': 5, 'gamma': 0.001, 'kernel': 'rbf'}",0.8018115160664224,0.8046202462678436,0.803215881167133,0.0014043651007105695,4
2.5026453733444214,0.06344878673553467,0.5371030569076538,0.017997145652770996,7,scale,rbf,"{'C': 7, 'gamma': 'scale', 'kernel': 'rbf'}",0.8084761463640573,0.798133113699651,0.8033046300318541,0.005171516332203141,3
11.38109278678894,0.043443918228149414,0.7367854118347168,0.003159046173095703,7,0.005,rbf,"{'C': 7, 'gamma': 0.005, 'kernel': 'rbf'}",0.7760938142915923,0.7736142289759972,0.7748540216337947,0.001239792657797556,11
11.159069180488586,0.12363612651824951,0.919978141784668,0.043492794036865234,7,0.01,rbf,"{'C': 7, 'gamma': 0.01, 'kernel': 'rbf'}",0.766200887719875,0.764485119831446,0.7653430037756606,0.0008578839442145436,15
9.407650828361511,0.25569379329681396,0.6238530874252319,0.06991207599639893,7,0.001,rbf,"{'C': 7, 'gamma': 0.001, 'kernel': 'rbf'}",0.7990478938257357,0.8018185124568102,0.800433203141273,0.0013853093155372642,5
2.4784555435180664,0.17715692520141602,0.5786762237548828,0.04981231689453125,10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.8120485630859076,0.8012975846165872,0.8066730738512473,0.005375489234660191,1
13.02892804145813,0.0556492805480957,0.8367553949356079,0.057247281074523926,10,0.005,rbf,"{'C': 10, 'gamma': 0.005, 'kernel': 'rbf'}",0.7734375,0.7712544333872801,0.7723459666936401,0.0010915333063599708,12
12.038702130317688,0.486690878868103,1.3173458576202393,0.025574445724487305,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.765198541728249,0.7618328132698307,0.7635156774990398,0.0016828642292091578,16
11.299587368965149,0.17781150341033936,0.8236180543899536,0.0021806955337524414,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.7950351016863283,0.7989655046807271,0.7970003031835278,0.0019652014971994203,7
