mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1
4.766146600246429,0.9776956047149415,0.4016234874725342,0.05309000939547258,3,scale,rbf,"{'C': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.7984084880636604,0.8018361472029877,0.801991752898156,0.7880330999363463,0.7975673720252876,0.005687868846983151,15
10.286363780498505,0.18186143387512502,0.5147209763526917,0.19378391322660635,3,0.001,rbf,"{'C': 3, 'gamma': 0.001, 'kernel': 'rbf'}",0.8070200780008666,0.8063912480207284,0.8152492668621701,0.8154774892719471,0.811034520538928,0.004335313895830755,6
8.605543494224548,0.1289622140722925,0.43209195137023926,0.1235079400034644,3,0.0005,rbf,"{'C': 3, 'gamma': 0.0005, 'kernel': 'rbf'}",0.8124319221552538,0.8108851414923645,0.8232334124074473,0.8203290676416819,0.8167198859241869,0.005193339382959684,1
4.2419140338897705,0.29042703469402886,0.4154726266860962,0.027473042705188994,5,scale,rbf,"{'C': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.8059770826881386,0.8078886310904873,0.8064615860256609,0.7945984363894812,0.8037314340484419,0.005319553578935356,12
13.652504086494446,0.18888968419735508,0.38649696111679077,0.054014583866231605,5,0.001,rbf,"{'C': 5, 'gamma': 0.001, 'kernel': 'rbf'}",0.8030467899891187,0.8028046841116091,0.8133065672497849,0.8116428362999708,0.8077002194126208,0.004811341685919288,9
10.975529611110687,0.19330941357174683,0.4620633125305176,0.12258465197019952,5,0.0005,rbf,"{'C': 5, 'gamma': 0.0005, 'kernel': 'rbf'}",0.8095515433896331,0.808007543337927,0.8218192285549797,0.8197129466900996,0.8147728154931599,0.006063980190316392,2
4.293705403804779,0.2568909911857104,0.40336549282073975,0.033816797939694845,7,scale,rbf,"{'C': 7, 'gamma': 'scale', 'kernel': 'rbf'}",0.8095935837125008,0.8103275529865125,0.8099822845259186,0.7993718099725167,0.807318807799362,0.004595542290877939,10
16.408617973327637,0.1751941078155949,0.37374985218048096,0.01672284312875871,7,0.001,rbf,"{'C': 7, 'gamma': 0.001, 'kernel': 'rbf'}",0.7998836109696661,0.7999128793378829,0.8109427730308034,0.809478534337746,0.8050544494190246,0.005182137481140035,11
13.39704316854477,0.18975016707192555,0.4886205792427063,0.1757584364345336,7,0.0005,rbf,"{'C': 7, 'gamma': 0.0005, 'kernel': 'rbf'}",0.8085911903895158,0.806874453830469,0.8217322380746506,0.8187820983125459,0.8139949951517953,0.006377391695209198,3
4.4466665387153625,0.25141808300086743,0.3551536798477173,0.06623216333731322,10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.8117077667665362,0.8127159640635798,0.8139106402579457,0.8021298253856394,0.8101160491184253,0.0046763183761262825,7
20.25995898246765,0.26223630711603346,0.34764033555984497,0.02149566550442113,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.795648682193181,0.7967088976263289,0.8074122142908645,0.8070894975831258,0.801714822923375,0.005549881699879648,13
16.543559432029724,0.16754633192101573,0.43331044912338257,0.12570615626775578,10,0.0005,rbf,"{'C': 10, 'gamma': 0.0005, 'kernel': 'rbf'}",0.8053809036408831,0.8033937975424226,0.8214053585614214,0.8181150910158544,0.8120737876901454,0.00780564678070153,5
4.598325073719025,0.29138958800612685,0.39394068717956543,0.06249872241882522,15,scale,rbf,"{'C': 15, 'gamma': 'scale', 'kernel': 'rbf'}",0.8143207605029132,0.8170284316722716,0.8159143075745984,0.8055837167589488,0.813211804127183,0.004507983802153346,4
26.252945601940155,0.12366419180307166,0.3533461093902588,0.021100870997859317,15,0.001,rbf,"{'C': 15, 'gamma': 0.001, 'kernel': 'rbf'}",0.793504498573623,0.7918128654970761,0.8031496062992125,0.8039517014270033,0.7981046679492287,0.005486062791896585,14
21.58768880367279,0.21873712752315483,0.48781657218933105,0.08334630997110522,15,0.0005,rbf,"{'C': 15, 'gamma': 0.0005, 'kernel': 'rbf'}",0.8022058823529411,0.7992349003163393,0.8196175021732831,0.816389583639841,0.809361967120601,0.008779670045312084,8
