epoch,loss,val_loss
0,0.6022738814353943,0.5660462975502014
1,0.5615972876548767,0.5391594767570496
2,0.5422834157943726,0.527308464050293
3,0.5327070951461792,0.5241299271583557
4,0.5274969339370728,0.5153724551200867
5,0.5241438150405884,0.518180787563324
6,0.5226154327392578,0.523476243019104
7,0.5182316899299622,0.517784833908081
8,0.5158100724220276,0.5158748626708984
9,0.5160142183303833,0.5307128429412842
10,0.5140994191169739,0.5240762829780579
11,0.5120578408241272,0.5197315812110901
12,0.5108888745307922,0.5151652693748474
13,0.5101615190505981,0.5213938355445862
14,0.5085908770561218,0.5111993551254272
15,0.5078377723693848,0.519099771976471
16,0.5062537789344788,0.5275421738624573
17,0.5048950910568237,0.5105492472648621
18,0.5024234056472778,0.527754008769989
19,0.5039981007575989,0.5186300277709961
20,0.5036303997039795,0.5286117792129517
21,0.5009000897407532,0.5217891931533813
22,0.5011911988258362,0.5163873434066772
23,0.49986177682876587,0.5225074887275696
24,0.5007774233818054,0.5134595036506653
25,0.4985736310482025,0.49623748660087585
26,0.49905824661254883,0.5117019414901733
27,0.49772706627845764,0.5256879329681396
28,0.49765607714653015,0.5221378803253174
29,0.4966716766357422,0.5139708518981934
30,0.4972664713859558,0.5199479460716248
31,0.49598556756973267,0.5055599212646484
32,0.4947100281715393,0.5186758041381836
33,0.4947766065597534,0.5296493172645569
34,0.49517789483070374,0.5075433850288391
35,0.49344611167907715,0.5183876156806946
36,0.4934818148612976,0.5143648982048035
37,0.49238747358322144,0.488531231880188
38,0.4939269721508026,0.5087039470672607
39,0.49132224917411804,0.5044763684272766
40,0.49256178736686707,0.5102360844612122
41,0.49315017461776733,0.5047750473022461
42,0.490673691034317,0.5053824782371521
43,0.4905116558074951,0.5233244895935059
44,0.490464985370636,0.5047183036804199
45,0.49028483033180237,0.5026641488075256
46,0.4888867735862732,0.5042181015014648
47,0.4898614287376404,0.5232945680618286
48,0.48837557435035706,0.5206747651100159
49,0.48861148953437805,0.5056633949279785
50,0.48829448223114014,0.5105166435241699
51,0.4882355332374573,0.5237623453140259
52,0.4885665476322174,0.5002831220626831
53,0.48755303025245667,0.5157759785652161
54,0.48727947473526,0.521997332572937
55,0.4871365427970886,0.5220678448677063
56,0.48694589734077454,0.4979941248893738
57,0.48608893156051636,0.5008744597434998
58,0.48569732904434204,0.5059852600097656
59,0.4865676760673523,0.5195934772491455
