mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_degree,param_gamma,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
4.1092246770858765,0.2167896032333374,1.0839215517044067,0.11552417278289795,0.1,linear,,,"{'C': 0.1, 'kernel': 'linear'}",0.6744555433976915,0.6613749012283601,0.6679152223130258,0.0065403210846657345,27
2.585488438606262,0.058169007301330566,0.992761492729187,0.014895796775817871,1,linear,,,"{'C': 1, 'kernel': 'linear'}",0.6801559177888022,0.6794306049822065,0.6797932613855044,0.0003626564032978563,9
2.9322060346603394,0.021652579307556152,0.9764819145202637,0.021257638931274414,10,linear,,,"{'C': 10, 'kernel': 'linear'}",0.6734672040517886,0.6745357708363323,0.6740014874440605,0.0005342833922718504,22
2.7140932083129883,0.07946634292602539,1.3809435367584229,0.008300304412841797,0.1,poly,2,scale,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.6744555433976915,0.6613749012283601,0.6679152223130258,0.0065403210846657345,27
2.7858810424804688,0.005470752716064453,1.1944878101348877,0.009707212448120117,0.1,poly,2,auto,"{'C': 0.1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.6838700653869016,0.6838212313782686,0.6838456483825851,2.441700431654592e-05,1
2.7474255561828613,0.008288145065307617,1.2306545972824097,0.004742026329040527,0.1,poly,2,0.005,"{'C': 0.1, 'degree': 2, 'gamma': 0.005, 'kernel': 'poly'}",0.683339179235356,0.6827453045462524,0.6830422418908042,0.00029693734455182863,5
2.7485958337783813,0.04736196994781494,0.976392388343811,0.019688010215759277,0.1,poly,2,0.1,"{'C': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.6782347900599829,0.6785803282190025,0.6784075591394927,0.0001727690795098047,14
2.8050376176834106,0.01334679126739502,1.1039859056472778,0.04596912860870361,0.1,poly,2,0.5,"{'C': 0.1, 'degree': 2, 'gamma': 0.5, 'kernel': 'poly'}",0.6608734905766843,0.6615085594677431,0.6611910250222137,0.00031753444552939936,36
2.877872109413147,0.007432818412780762,1.421461820602417,0.00946354866027832,0.1,poly,3,scale,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6744555433976915,0.6613749012283601,0.6679152223130258,0.0065403210846657345,27
2.8603227138519287,0.0690925121307373,0.9720720052719116,0.035857319831848145,0.1,poly,3,auto,"{'C': 0.1, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.6838700653869016,0.6838212313782686,0.6838456483825851,2.441700431654592e-05,1
2.7478556632995605,0.12646031379699707,0.8522757291793823,0.022173047065734863,0.1,poly,3,0.005,"{'C': 0.1, 'degree': 3, 'gamma': 0.005, 'kernel': 'poly'}",0.683339179235356,0.6827453045462524,0.6830422418908042,0.00029693734455182863,5
2.774925112724304,0.013120293617248535,0.7619574069976807,0.03589916229248047,0.1,poly,3,0.1,"{'C': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.6782347900599829,0.6785803282190025,0.6784075591394927,0.0001727690795098047,14
2.9918370246887207,0.11901211738586426,0.9603351354598999,0.042392849922180176,0.1,poly,3,0.5,"{'C': 0.1, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly'}",0.6608734905766843,0.6615085594677431,0.6611910250222137,0.00031753444552939936,36
2.834782361984253,0.05463004112243652,1.2063095569610596,0.0014564990997314453,0.1,poly,4,scale,"{'C': 0.1, 'degree': 4, 'gamma': 'scale', 'kernel': 'poly'}",0.6744555433976915,0.6613749012283601,0.6679152223130258,0.0065403210846657345,27
2.710530638694763,0.006279110908508301,0.9664056301116943,0.02158975601196289,0.1,poly,4,auto,"{'C': 0.1, 'degree': 4, 'gamma': 'auto', 'kernel': 'poly'}",0.6838700653869016,0.6838212313782686,0.6838456483825851,2.441700431654592e-05,1
2.760305166244507,0.023843050003051758,1.0058929920196533,0.021042585372924805,0.1,poly,4,0.005,"{'C': 0.1, 'degree': 4, 'gamma': 0.005, 'kernel': 'poly'}",0.683339179235356,0.6827453045462524,0.6830422418908042,0.00029693734455182863,5
2.6531262397766113,0.02427506446838379,0.9353200197219849,0.02223503589630127,0.1,poly,4,0.1,"{'C': 0.1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}",0.6782347900599829,0.6785803282190025,0.6784075591394927,0.0001727690795098047,14
2.8018462657928467,0.025515317916870117,0.9452197551727295,0.005044698715209961,0.1,poly,4,0.5,"{'C': 0.1, 'degree': 4, 'gamma': 0.5, 'kernel': 'poly'}",0.6608734905766843,0.6615085594677431,0.6611910250222137,0.00031753444552939936,36
2.8177852630615234,0.10776185989379883,1.2545790672302246,0.006356239318847656,1,poly,2,scale,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.6801559177888022,0.6794306049822065,0.6797932613855044,0.0003626564032978563,9
2.9825559854507446,0.061043381690979004,0.9501403570175171,0.080574631690979,1,poly,2,auto,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.6631674208144797,0.6666189214352217,0.6648931711248507,0.0017257503103710325,32
3.1150087118148804,0.2573741674423218,0.6947402954101562,0.011741399765014648,1,poly,2,0.005,"{'C': 1, 'degree': 2, 'gamma': 0.005, 'kernel': 'poly'}",0.6752551918338613,0.6771874452042784,0.6762213185190699,0.0009661266852085681,18
