mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1
4.588360249996185,0.41478093435678975,0.8179147839546204,0.011904565058715021,0.005,auto,rbf,"{'C': 0.005, 'gamma': 'auto', 'kernel': 'rbf'}",0.6784810126582278,0.6900617241140163,0.6811481768813034,0.6748183342649525,0.6811273119796251,0.005626505474847209,5
4.794757664203644,0.3362765197604731,0.7924830317497253,0.06674864781982227,0.005,0.005,rbf,"{'C': 0.005, 'gamma': 0.005, 'kernel': 'rbf'}",0.6743018734535171,0.6817513134851139,0.6651359690033724,0.6651080410910378,0.6715742992582603,0.0069691439703952794,8
4.467628836631775,0.4205072993849954,0.6799253225326538,0.0970328366143247,0.01,auto,rbf,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.6788629327329018,0.6924618254681131,0.6873685686247021,0.6753697659884731,0.6835157732035475,0.006761698042484072,1
4.558890640735626,0.37023086847579234,0.7780858278274536,0.039197871441085434,0.01,0.005,rbf,"{'C': 0.01, 'gamma': 0.005, 'kernel': 'rbf'}",0.6765788728405552,0.6856103023516238,0.6780480864987908,0.6698206468012993,0.6775144771230672,0.005610202881598934,7
4.8354379534721375,0.2447714761348808,0.5020199418067932,0.03084507858196047,0.05,auto,rbf,"{'C': 0.05, 'gamma': 'auto', 'kernel': 'rbf'}",0.672854814709842,0.686971000416262,0.6929867241259471,0.6801101169993118,0.6832306640628407,0.007526069488177199,2
4.970045447349548,0.4940801125316583,0.6409303545951843,0.14790726571324095,0.05,0.005,rbf,"{'C': 0.05, 'gamma': 0.005, 'kernel': 'rbf'}",0.6749626679940268,0.6898769574944071,0.6905716093651129,0.6745636784187286,0.6824937283180688,0.007735741662744964,3
4.915082931518555,0.23333047155563988,0.6248722076416016,0.14383953213242667,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6660975956750604,0.6816881757935125,0.6927242432657595,0.6804010438126631,0.6802277646367489,0.009460265316453718,6
4.942161738872528,0.5247477149525536,0.6528641581535339,0.16101133623511332,0.1,0.005,rbf,"{'C': 0.1, 'gamma': 0.005, 'kernel': 'rbf'}",0.6697985621752437,0.68414411888406,0.6948324022346369,0.6761565836298933,0.6812329167309585,0.009353271163071095,4
5.27998948097229,0.2940562342836902,0.7564989924430847,0.041070099122524614,0.5,auto,rbf,"{'C': 0.5, 'gamma': 'auto', 'kernel': 'rbf'}",0.6350794585050029,0.6587796658779667,0.6855257616172962,0.6801440044309056,0.6648822226077928,0.019903037670544615,10
5.377032279968262,0.32094773416620526,0.4920608401298523,0.01758731766968772,0.5,0.005,rbf,"{'C': 0.5, 'gamma': 0.005, 'kernel': 'rbf'}",0.6478934101548434,0.6612674055129298,0.6968482167542163,0.6787411335307485,0.6711875414881845,0.018415704304999496,9
5.4840750098228455,0.2541142019294456,0.5300975441932678,0.07378809483414304,1,auto,rbf,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6151997596875939,0.6465379590651763,0.6835443037974683,0.6776940256839754,0.6557440120585536,0.0273095547883974,12
5.430869162082672,0.4863363471628758,0.5279943943023682,0.0696471749428211,1,0.005,rbf,"{'C': 1, 'gamma': 0.005, 'kernel': 'rbf'}",0.6355031309159749,0.6490950876185004,0.6923983091954818,0.6788562001649711,0.663963181973732,0.02270128403267031,11
8.677500009536743,0.39964122818473835,0.5263829827308655,0.05213361740134651,10,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.5110913930789707,0.5896341463414635,0.6706000863433589,0.6665241860796467,0.60946245296086,0.06531439115503478,14
6.62594747543335,0.2863497459924415,0.4623039960861206,0.07599722137845794,10,0.005,rbf,"{'C': 10, 'gamma': 0.005, 'kernel': 'rbf'}",0.5615755877315897,0.6107074002669435,0.6801242236024845,0.6747973113436353,0.6318011307361633,0.048888560027865326,13
