,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,220.69932651519775,3.0016906373449634,3.7281315326690674,0.47160668525199023,100,10,1,sqrt,,log_loss,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'log_loss'}",0.5309853274484075,0.5872002862936896,0.5909755151948943,0.5697203763123305,0.027433144140886663,49
1,52.67707506815592,0.557512093766932,3.341943343480428,0.09274337674613516,50,2,1,sqrt,10,gini,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.5183705117499702,0.6299355839198377,0.6173988249679401,0.5885683068792493,0.04990050375172367,25
2,25.104934612909954,0.866113107377565,3.8481300671895347,0.6291853287961618,20,15,4,log2,10,log_loss,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'log_loss'}",0.5192055350113325,0.6298162948825003,0.6213354806000417,0.5901191034979582,0.05026285374146534,17
3,40.27487579981486,1.5447251090813838,4.683770497639974,0.4005482716366428,20,2,2,log2,,entropy,"{'n_estimators': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.5308958606704044,0.5827865919122033,0.5820583937252095,0.5652469487692724,0.024291706517959696,98
4,195.3328496615092,3.0092255092753284,5.989043076833089,0.25418996859479626,120,10,1,log2,30,entropy,"{'n_estimators': 120, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.5293749254443517,0.5880054872957176,0.5923772031851123,0.5699192053083939,0.028724634575276173,46
5,110.5982457002004,8.471035273484432,4.0937126477559405,0.8298020399494407,80,5,10,sqrt,30,gini,"{'n_estimators': 80, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.51932482404867,0.5954610521293093,0.5928245504160329,0.5692034755313374,0.03528595273493479,59
6,232.52752923965454,1.7008757767223708,4.737573862075806,0.09439819545988837,120,15,4,sqrt,20,entropy,"{'n_estimators': 120, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy'}",0.5208457592747227,0.5971907431707026,0.594256061554979,0.5707641880001347,0.03531798629458701,38
7,37.81841127077738,0.8607085137484655,4.661871830622355,0.4537942787879563,20,15,2,log2,20,entropy,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.5192353572706668,0.5941190504592628,0.59500164027318,0.5694520160010366,0.035510367985765526,55
8,37.2347199122111,0.5348106324891782,4.744299093882243,0.3984612461206486,20,15,4,log2,,entropy,"{'n_estimators': 20, 'min_samples_split': 15, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'criterion': 'entropy'}",0.5204282476440415,0.5878563759990457,0.5877247919835377,0.5653364718755416,0.03175495532257715,97
9,52.9608740011851,1.2995639780417387,5.379070361455281,0.10443080180233183,50,5,4,log2,10,log_loss,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'log_loss'}",0.5225456280567816,0.6305916736251939,0.6213653037487697,0.5915008684769151,0.04890399003028248,6
